step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.8987,115.0326,10.4730,2.6182,7.911,0.000189,-0.000103,0.089973,0.120,7.791,1882569.3,0.87827,0.06564,0.074261,0.005707,0.074273,0.005551
25,0.051725,1,0.8987,115.0326,10.4730,2.6182,7.911,0.000189,-0.000103,0.089973,0.120,7.791,1882571.1,0.87827,0.06564,0.074261,0.005707,0.074273,0.005551
25,0.051725,2,0.8987,115.0326,10.4730,2.6182,7.911,0.000189,-0.000103,0.089973,0.120,7.791,1882569.3,0.87827,0.06564,0.074261,0.005707,0.074273,0.005551
25,0.051725,3,0.8987,115.0326,10.4730,2.6182,7.911,0.000189,-0.000103,0.089973,0.120,7.791,1882569.4,0.87828,0.06564,0.074261,0.005707,0.074273,0.005551
50,0.101461,0,0.8987,115.0326,10.4730,2.6182,7.911,0.000268,-0.000224,0.090094,0.170,7.741,1885107.8,0.87804,0.06477,0.074437,0.005713,0.074454,0.005492
50,0.101461,1,0.8987,115.0326,10.4730,2.6182,7.911,0.000268,-0.000224,0.090094,0.170,7.741,1885107.2,0.87804,0.06477,0.074437,0.005713,0.074454,0.005492
50,0.101461,2,0.8987,115.0326,10.4730,2.6182,7.911,0.000268,-0.000224,0.090094,0.171,7.740,1885108.6,0.87805,0.06476,0.074438,0.005713,0.074454,0.005492
50,0.101461,3,0.8987,115.0326,10.4730,2.6182,7.911,0.000268,-0.000224,0.090094,0.170,7.740,1885107.4,0.87805,0.06476,0.074438,0.005713,0.074454,0.005492
75,0.151197,0,0.8987,115.0326,10.4730,2.6182,7.911,0.000304,-0.000350,0.090220,0.193,7.718,1887745.2,0.87734,0.06454,0.074584,0.005740,0.074603,0.005488
75,0.151197,1,0.8987,115.0326,10.4730,2.6182,7.911,0.000304,-0.000350,0.090220,0.193,7.718,1887742.9,0.87735,0.06454,0.074584,0.005740,0.074603,0.005488
75,0.151197,2,0.8987,115.0326,10.4730,2.6182,7.911,0.000304,-0.000350,0.090220,0.193,7.718,1887745.0,0.87734,0.06454,0.074584,0.005740,0.074603,0.005488
75,0.151197,3,0.8987,115.0326,10.4730,2.6182,7.911,0.000304,-0.000350,0.090220,0.193,7.718,1887742.1,0.87735,0.06454,0.074584,0.005740,0.074603,0.005488
100,0.200933,0,0.8987,115.0326,10.4730,2.6182,7.911,0.000751,-0.000481,0.090353,0.476,7.435,1890537.1,0.88154,0.05815,0.075138,0.005584,0.075182,0.004959
100,0.200933,1,0.8987,115.0326,10.4730,2.6182,7.911,0.000751,-0.000481,0.090353,0.476,7.435,1890535.9,0.88155,0.05815,0.075138,0.005584,0.075182,0.004959
100,0.200933,2,0.8987,115.0326,10.4730,2.6182,7.911,0.000751,-0.000481,0.090353,0.476,7.435,1890537.3,0.88155,0.05815,0.075138,0.005584,0.075182,0.004959
100,0.200933,3,0.8987,115.0326,10.4730,2.6182,7.911,0.000751,-0.000481,0.090353,0.476,7.435,1890535.4,0.88155,0.05815,0.075138,0.005584,0.075182,0.004959
125,0.250669,0,0.8987,115.0326,10.4730,2.6182,7.911,0.000765,-0.000647,0.090519,0.484,7.427,1894001.1,0.88051,0.05834,0.075324,0.005631,0.075369,0.004994
125,0.250669,1,0.8987,115.0326,10.4730,2.6182,7.911,0.000765,-0.000646,0.090519,0.484,7.427,1893995.2,0.88051,0.05834,0.075324,0.005630,0.075369,0.004994
125,0.250669,2,0.8987,115.0326,10.4730,2.6182,7.911,0.000766,-0.000646,0.090519,0.485,7.426,1893999.1,0.88052,0.05832,0.075325,0.005630,0.075370,0.004992
125,0.250669,3,0.8987,115.0326,10.4730,2.6182,7.911,0.000765,-0.000646,0.090519,0.484,7.427,1893994.7,0.88051,0.05834,0.075324,0.005630,0.075368,0.004994
150,0.300405,0,0.8987,115.0326,10.4730,2.6182,7.911,0.001432,-0.000972,0.090853,0.903,7.008,1900989.3,0.88718,0.04900,0.076426,0.005431,0.076502,0.004226
150,0.300405,1,0.8987,115.0326,10.4730,2.6182,7.911,0.001431,-0.000972,0.090853,0.902,7.008,1900981.5,0.88717,0.04902,0.076424,0.005432,0.076500,0.004227
150,0.300405,2,0.8987,115.0326,10.4730,2.6182,7.911,0.001432,-0.000972,0.090853,0.903,7.007,1900987.1,0.88719,0.04900,0.076426,0.005431,0.076502,0.004225
150,0.300405,3,0.8987,115.0326,10.4730,2.6182,7.911,0.001431,-0.000972,0.090853,0.902,7.009,1900980.4,0.88716,0.04903,0.076423,0.005432,0.076499,0.004228
175,0.350141,0,0.8987,115.0326,10.4730,2.6182,7.911,0.001974,-0.001304,0.091195,1.240,6.670,1908138.8,0.87708,0.04365,0.076101,0.005441,0.076201,0.003792
175,0.350141,1,0.8987,115.0326,10.4730,2.6182,7.911,0.001977,-0.001305,0.091196,1.242,6.668,1908157.7,0.87703,0.04362,0.076097,0.005441,0.076198,0.003789
175,0.350141,2,0.8987,115.0326,10.4730,2.6182,7.911,0.001974,-0.001304,0.091194,1.240,6.671,1908135.8,0.87709,0.04365,0.076101,0.005441,0.076201,0.003793
175,0.350141,3,0.8987,115.0326,10.4730,2.6182,7.911,0.001977,-0.001305,0.091196,1.242,6.669,1908157.2,0.87703,0.04362,0.076098,0.005441,0.076198,0.003790
200,0.399877,0,0.8987,115.0326,10.4730,2.6182,7.911,0.002506,-0.001587,0.091490,1.569,6.341,1914323.3,0.86817,0.03824,0.075796,0.005422,0.075916,0.003344
200,0.399877,1,0.8987,115.0326,10.4730,2.6182,7.911,0.002506,-0.001588,0.091491,1.569,6.341,1914348.8,0.86817,0.03824,0.075798,0.005422,0.075918,0.003344
200,0.399877,2,0.8987,115.0326,10.4730,2.6182,7.911,0.002504,-0.001586,0.091490,1.568,6.343,1914316.1,0.86820,0.03826,0.075798,0.005422,0.075918,0.003346
200,0.399877,3,0.8987,115.0326,10.4730,2.6182,7.911,0.002506,-0.001588,0.091492,1.569,6.342,1914351.2,0.86817,0.03824,0.075798,0.005422,0.075918,0.003344
225,0.449613,0,0.8987,115.0326,10.4730,2.6182,7.911,0.003006,-0.001808,0.091726,1.878,6.033,1919256.5,0.86080,0.03298,0.075525,0.005376,0.075660,0.002899
225,0.449613,1,0.8987,115.0326,10.4730,2.6182,7.911,0.003013,-0.001809,0.091728,1.882,6.029,1919288.9,0.86070,0.03290,0.075518,0.005375,0.075654,0.002892
225,0.449613,2,0.8987,115.0326,10.4730,2.6182,7.911,0.003005,-0.001808,0.091726,1.877,6.034,1919260.9,0.86082,0.03299,0.075526,0.005376,0.075662,0.002900
225,0.449613,3,0.8987,115.0326,10.4730,2.6182,7.911,0.003029,-0.001808,0.091728,1.892,6.018,1919290.7,0.86046,0.03271,0.075497,0.005371,0.075633,0.002875
250,0.499349,0,0.8987,115.0326,10.4730,2.6182,7.911,0.003390,-0.001926,0.091858,2.115,5.796,1922017.5,0.84091,0.03009,0.073976,0.005386,0.074125,0.002652
250,0.499349,1,0.8987,115.0326,10.4730,2.6182,7.911,0.003390,-0.001924,0.091856,2.115,5.796,1921971.2,0.84096,0.03009,0.073977,0.005386,0.074125,0.002653
250,0.499349,2,0.8987,115.0326,10.4730,2.6182,7.911,0.003400,-0.001926,0.091858,2.121,5.789,1922025.5,0.84033,0.03002,0.073925,0.005386,0.074074,0.002646
250,0.499349,3,0.8987,115.0326,10.4730,2.6182,7.911,0.003388,-0.001923,0.091855,2.114,5.797,1921957.9,0.84102,0.03010,0.073981,0.005386,0.074130,0.002653
275,0.549085,0,0.8987,115.0326,10.4730,2.6182,7.911,0.004229,-0.001671,0.091638,2.645,5.266,1917415.7,0.79049,0.02358,0.069177,0.005266,0.069347,0.002068
275,0.549085,1,0.8987,115.0326,10.4730,2.6182,7.911,0.004233,-0.001672,0.091639,2.648,5.263,1917444.9,0.79022,0.02354,0.069156,0.005266,0.069326,0.002066
275,0.549085,2,0.8987,115.0326,10.4730,2.6182,7.911,0.004228,-0.001671,0.091638,2.645,5.266,1917421.9,0.79051,0.02358,0.069180,0.005266,0.069349,0.002069
275,0.549085,3,0.8987,115.0326,10.4730,2.6182,7.911,0.004229,-0.001673,0.091640,2.645,5.266,1917455.7,0.79047,0.02358,0.069179,0.005267,0.069348,0.002068
300,0.598820,0,0.8987,115.0326,10.4730,2.6182,7.911,0.005048,-0.001614,0.091622,3.158,4.753,1917090.7,0.73422,0.01864,0.064201,0.005180,0.064389,0.001635
300,0.598820,1,0.8987,115.0326,10.4730,2.6182,7.911,0.005046,-0.001613,0.091621,3.157,4.754,1917057.9,0.73434,0.01865,0.064209,0.005179,0.064397,0.001635
300,0.598820,2,0.8987,115.0326,10.4730,2.6182,7.911,0.005047,-0.001614,0.091623,3.157,4.753,1917092.1,0.73430,0.01865,0.064208,0.005180,0.064396,0.001635
300,0.598820,3,0.8987,115.0326,10.4730,2.6182,7.911,0.005045,-0.001613,0.091621,3.156,4.754,1917066.7,0.73443,0.01865,0.064218,0.005180,0.064406,0.001636
325,0.648556,0,0.8987,115.0326,10.4730,2.6182,7.911,0.005391,-0.001697,0.091725,3.369,4.542,1919231.9,0.70809,0.01716,0.062040,0.005163,0.062236,0.001508
325,0.648556,1,0.8987,115.0326,10.4730,2.6182,7.911,0.005391,-0.001695,0.091723,3.369,4.542,1919188.8,0.70806,0.01715,0.062034,0.005163,0.062230,0.001508
325,0.648556,2,0.8987,115.0326,10.4730,2.6182,7.911,0.005390,-0.001697,0.091724,3.369,4.542,1919223.3,0.70816,0.01716,0.062046,0.005163,0.062242,0.001508
325,0.648556,3,0.8987,115.0326,10.4730,2.6182,7.911,0.005390,-0.001696,0.091724,3.369,4.542,1919208.7,0.70810,0.01716,0.062040,0.005163,0.062236,0.001508
350,0.698292,0,0.8987,115.0326,10.4730,2.6182,7.911,0.005978,-0.001850,0.091913,3.729,4.182,1923175.9,0.66365,0.01459,0.058362,0.005094,0.058570,0.001287
350,0.698292,1,0.8987,115.0326,10.4730,2.6182,7.911,0.005978,-0.001852,0.091916,3.729,4.182,1923239.2,0.66362,0.01459,0.058363,0.005094,0.058571,0.001287
350,0.698292,2,0.8987,115.0326,10.4730,2.6182,7.911,0.005975,-0.001848,0.091911,3.727,4.184,1923134.0,0.66383,0.01460,0.058376,0.005094,0.058584,0.001288
350,0.698292,3,0.8987,115.0326,10.4730,2.6182,7.911,0.005977,-0.001852,0.091915,3.729,4.182,1923220.0,0.66369,0.01459,0.058368,0.005094,0.058576,0.001288
375,0.748028,0,0.8987,115.0326,10.4730,2.6182,7.911,0.006558,-0.001943,0.092046,4.086,3.825,1925951.4,0.61618,0.01287,0.054318,0.005022,0.054538,0.001139
375,0.748028,1,0.8987,115.0326,10.4730,2.6182,7.911,0.006557,-0.001942,0.092045,4.085,3.826,1925923.4,0.61628,0.01287,0.054325,0.005022,0.054545,0.001139
375,0.748028,2,0.8987,115.0326,10.4730,2.6182,7.911,0.006556,-0.001942,0.092045,4.085,3.826,1925931.1,0.61632,0.01288,0.054329,0.005022,0.054549,0.001140
375,0.748028,3,0.8987,115.0326,10.4730,2.6182,7.911,0.006555,-0.001941,0.092044,4.084,3.827,1925905.8,0.61638,0.01288,0.054334,0.005022,0.054553,0.001140
400,0.797764,0,0.8987,115.0326,10.4730,2.6182,7.911,0.007280,-0.002104,0.092261,4.526,3.385,1930452.1,0.55353,0.01188,0.048985,0.004937,0.049222,0.001057
400,0.797764,1,0.8987,115.0326,10.4730,2.6182,7.911,0.007280,-0.002100,0.092257,4.526,3.385,1930364.2,0.55349,0.01188,0.048977,0.004937,0.049214,0.001057
400,0.797764,2,0.8987,115.0326,10.4730,2.6182,7.911,0.007278,-0.002098,0.092255,4.525,3.386,1930315.4,0.55363,0.01189,0.048987,0.004937,0.049224,0.001057
400,0.797764,3,0.8987,115.0326,10.4730,2.6182,7.911,0.008524,-0.002097,0.092360,5.295,2.615,1932527.6,0.44185,0.01082,0.039118,0.004594,0.039376,0.000965
425,0.847500,0,0.8987,115.0326,10.4730,2.6182,7.911,0.007860,-0.002295,0.092499,4.874,3.037,1935428.8,0.50456,0.01117,0.044851,0.004827,0.045099,0.000999
425,0.847500,1,0.8987,115.0326,10.4730,2.6182,7.911,0.007765,-0.002275,0.092471,4.817,3.094,1934845.0,0.51268,0.01130,0.045551,0.004851,0.045797,0.001009
425,0.847500,2,0.8987,115.0326,10.4730,2.6182,7.911,0.007931,-0.002277,0.092486,4.919,2.992,1935168.7,0.49797,0.01107,0.044249,0.004802,0.044498,0.000989
425,0.847500,3,0.8987,115.0326,10.4730,2.6182,7.911,0.007981,-0.002227,0.092442,4.953,2.958,1934236.2,0.49274,0.01104,0.043739,0.004779,0.043988,0.000985
450,0.897236,0,0.8987,115.0326,10.4730,2.6182,7.911,0.008443,-0.002431,0.092686,5.227,2.684,1939338.6,0.45363,0.01096,0.040452,0.004688,0.040711,0.000984
450,0.897236,1,0.8987,115.0326,10.4730,2.6182,7.911,0.008477,-0.002434,0.092691,5.247,2.664,1939452.0,0.45065,0.01095,0.040189,0.004678,0.040448,0.000983
450,0.897236,2,0.8987,115.0326,10.4730,2.6182,7.911,0.008470,-0.002429,0.092686,5.243,2.668,1939340.3,0.45117,0.01095,0.040230,0.004679,0.040490,0.000983
450,0.897236,3,0.8987,115.0326,10.4730,2.6182,7.911,0.008451,-0.002411,0.092666,5.233,2.678,1938928.0,0.45263,0.01095,0.040345,0.004682,0.040604,0.000983
475,0.946972,0,0.8987,115.0326,10.4730,2.6182,7.911,0.008944,-0.002532,0.092833,5.529,2.382,1942410.9,0.40966,0.01080,0.036616,0.004521,0.036881,0.000973
475,0.946972,1,0.8987,115.0326,10.4730,2.6182,7.911,0.008961,-0.002529,0.092832,5.539,2.371,1942399.5,0.40805,0.01080,0.036471,0.004514,0.036736,0.000972
475,0.946972,2,0.8987,115.0326,10.4730,2.6182,7.911,0.008965,-0.002531,0.092835,5.542,2.369,1942452.2,0.40772,0.01080,0.036442,0.004512,0.036708,0.000972
475,0.946972,3,0.8987,115.0326,10.4730,2.6182,7.911,0.008971,-0.002516,0.092819,5.546,2.364,1942135.3,0.40696,0.01079,0.036363,0.004507,0.036628,0.000971
500,0.996708,0,0.8987,115.0326,10.4730,2.6182,7.911,0.009199,-0.002604,0.092930,5.681,2.230,1944447.5,0.38751,0.01071,0.034693,0.004423,0.034960,0.000967
500,0.996708,1,0.8987,115.0326,10.4730,2.6182,7.911,0.009211,-0.002619,0.092946,5.688,2.223,1944780.3,0.38659,0.01071,0.034621,0.004420,0.034889,0.000967
500,0.996708,2,0.8987,115.0326,10.4730,2.6182,7.911,0.009310,-0.002616,0.092952,5.748,2.163,1944919.6,0.37763,0.01067,0.033818,0.004372,0.034086,0.000963
500,0.996708,3,0.8987,115.0326,10.4730,2.6182,7.911,0.009355,-0.002625,0.092966,5.776,2.135,1945197.9,0.37362,0.01065,0.033465,0.004351,0.033733,0.000962
525,1.046444,0,0.8987,115.0326,10.4730,2.6182,7.911,0.009733,-0.002530,0.092910,6.013,1.897,1944038.3,0.33825,0.01051,0.030236,0.004138,0.030503,0.000948
525,1.046444,1,0.8987,115.0326,10.4730,2.6182,7.911,0.009705,-0.002550,0.092927,5.995,1.916,1944391.6,0.34106,0.01052,0.030501,0.004157,0.030768,0.000949
525,1.046444,2,0.8987,115.0326,10.4730,2.6182,7.911,0.009685,-0.002591,0.092966,5.980,1.931,1945199.1,0.34341,0.01053,0.030738,0.004175,0.031006,0.000950
525,1.046444,3,0.8987,115.0326,10.4730,2.6182,7.911,0.009789,-0.002621,0.093007,6.041,1.869,1946054.4,0.33448,0.01051,0.029958,0.004125,0.030226,0.000950
550,1.096180,0,0.8987,115.0326,10.4730,2.6182,7.911,0.010103,-0.002561,0.092981,6.238,1.673,1945509.9,0.30550,0.01044,0.027325,0.003935,0.027591,0.000943
550,1.096180,1,0.8987,115.0326,10.4730,2.6182,7.911,0.010093,-0.002571,0.092989,6.231,1.679,1945690.4,0.30646,0.01044,0.027418,0.003942,0.027684,0.000943
550,1.096180,2,0.8987,115.0326,10.4730,2.6182,7.911,0.010065,-0.002538,0.092953,6.216,1.695,1944937.1,0.30862,0.01044,0.027591,0.003953,0.027857,0.000943
550,1.096180,3,0.8987,115.0326,10.4730,2.6182,7.911,0.010097,-0.002562,0.092981,6.234,1.677,1945524.2,0.30604,0.01044,0.027375,0.003939,0.027641,0.000943
575,1.145916,0,0.8987,115.0326,10.4730,2.6182,7.911,0.010412,-0.002558,0.093012,6.427,1.484,1946158.4,0.27771,0.01037,0.024836,0.003741,0.025099,0.000937
575,1.145916,1,0.8987,115.0326,10.4730,2.6182,7.911,0.010391,-0.002573,0.093025,6.414,1.497,1946432.6,0.27976,0.01037,0.025027,0.003757,0.025290,0.000938
575,1.145916,2,0.8987,115.0326,10.4730,2.6182,7.911,0.010369,-0.002563,0.093012,6.401,1.510,1946168.1,0.28163,0.01038,0.025190,0.003770,0.025453,0.000938
575,1.145916,3,0.8987,115.0326,10.4730,2.6182,7.911,0.010399,-0.002592,0.093044,6.417,1.494,1946827.8,0.27931,0.01037,0.024997,0.003755,0.025260,0.000938
600,1.195652,0,0.8987,115.0326,10.4730,2.6182,7.911,0.010736,-0.002671,0.093160,6.617,1.294,1949268.8,0.25013,0.01030,0.022419,0.003541,0.022678,0.000934
600,1.195652,1,0.8987,115.0326,10.4730,2.6182,7.911,0.010849,-0.002650,0.093153,6.688,1.223,1949118.8,0.23966,0.01028,0.021469,0.003456,0.021726,0.000932
600,1.195652,2,0.8987,115.0326,10.4730,2.6182,7.911,0.010724,-0.002678,0.093166,6.610,1.301,1949395.8,0.25129,0.01031,0.022527,0.003551,0.022786,0.000935
600,1.195652,3,0.8987,115.0326,10.4730,2.6182,7.911,0.010735,-0.002695,0.093185,6.616,1.295,1949781.7,0.25045,0.01030,0.022461,0.003546,0.022720,0.000935
625,1.245387,0,0.8987,115.0326,10.4730,2.6182,7.911,0.010946,-0.002624,0.093139,6.749,1.162,1948815.0,0.23061,0.01025,0.020645,0.003379,0.020899,0.000929
625,1.245387,1,0.8987,115.0326,10.4730,2.6182,7.911,0.010879,-0.002831,0.093336,6.693,1.218,1952943.0,0.23938,0.01028,0.021528,0.003468,0.021786,0.000935
625,1.245387,2,0.8987,115.0326,10.4730,2.6182,7.911,0.010972,-0.002850,0.093366,6.749,1.162,1953565.6,0.23128,0.01026,0.020806,0.003403,0.021062,0.000934
625,1.245387,3,0.8987,115.0326,10.4730,2.6182,7.911,0.010910,-0.002750,0.093259,6.718,1.193,1951339.7,0.23552,0.01027,0.021143,0.003430,0.021399,0.000933
650,1.295123,0,0.8987,115.0326,10.4730,2.6182,7.911,0.010906,-0.003112,0.093618,6.690,1.221,1958853.1,0.24063,0.01028,0.021772,0.003502,0.022032,0.000941
650,1.295123,1,0.8987,115.0326,10.4730,2.6182,7.911,0.010889,-0.003080,0.093585,6.682,1.229,1958157.1,0.24175,0.01029,0.021859,0.003508,0.022119,0.000941
650,1.295123,2,0.8987,115.0326,10.4730,2.6182,7.911,0.010948,-0.003054,0.093566,6.720,1.191,1957749.1,0.23605,0.01027,0.021330,0.003459,0.021588,0.000939
650,1.295123,3,0.8987,115.0326,10.4730,2.6182,7.911,0.010854,-0.003183,0.093683,6.653,1.258,1960209.7,0.24622,0.01030,0.022314,0.003553,0.022575,0.000944
675,1.344859,0,0.8987,115.0326,10.4730,2.6182,7.911,0.010636,-0.003307,0.093781,6.512,1.399,1962256.0,0.26742,0.01036,0.024304,0.003732,0.024570,0.000952
675,1.344859,1,0.8987,115.0326,10.4730,2.6182,7.911,0.010777,-0.003375,0.093865,6.593,1.318,1964011.9,0.25572,0.01033,0.023273,0.003647,0.023537,0.000951
675,1.344859,2,0.8987,115.0326,10.4730,2.6182,7.911,0.010736,-0.003187,0.093674,6.581,1.330,1960007.6,0.25686,0.01033,0.023282,0.003639,0.023546,0.000947
675,1.344859,3,0.8987,115.0326,10.4730,2.6182,7.911,0.010767,-0.003309,0.093798,6.591,1.320,1962618.4,0.25573,0.01033,0.023241,0.003641,0.023505,0.000949
700,1.394595,0,0.8987,115.0326,10.4730,2.6182,7.911,0.010577,-0.003545,0.094011,6.460,1.451,1967077.8,0.27586,0.01039,0.025201,0.003819,0.025470,0.000959
700,1.394595,1,0.8987,115.0326,10.4730,2.6182,7.911,0.010596,-0.003504,0.093973,6.474,1.437,1966270.8,0.27361,0.01038,0.024973,0.003798,0.025242,0.000958
700,1.394595,2,0.8987,115.0326,10.4730,2.6182,7.911,0.010607,-0.003505,0.093975,6.481,1.430,1966314.1,0.27267,0.01038,0.024887,0.003791,0.025156,0.000958
700,1.394595,3,0.8987,115.0326,10.4730,2.6182,7.911,0.010557,-0.003506,0.093970,6.450,1.461,1966208.7,0.27719,0.01039,0.025301,0.003825,0.025570,0.000959
725,1.444331,0,0.8987,115.0326,10.4730,2.6182,7.911,0.010047,-0.003783,0.094189,6.123,1.788,1970794.7,0.32665,0.01055,0.029996,0.004201,0.030273,0.000978
