step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.6649,85.1078,10.4902,2.6225,11.196,0.000348,-0.000051,0.066542,0.299,10.896,1394608.4,1.32143,0.04128,0.061215,0.002233,0.061226,0.001913
25,0.051725,1,0.6649,85.1078,10.4902,2.6225,11.196,0.000348,-0.000051,0.066542,0.300,10.896,1394609.6,1.32142,0.04128,0.061215,0.002233,0.061226,0.001913
25,0.051725,2,0.6649,85.1078,10.4902,2.6225,11.196,0.000348,-0.000051,0.066542,0.300,10.896,1394608.1,1.32142,0.04128,0.061215,0.002233,0.061225,0.001913
25,0.051725,3,0.6649,85.1078,10.4902,2.6225,11.196,0.000348,-0.000051,0.066542,0.300,10.896,1394610.2,1.32142,0.04128,0.061215,0.002233,0.061226,0.001913
50,0.101461,0,0.6649,85.1078,10.4902,2.6225,11.196,0.000471,-0.000123,0.066615,0.405,10.791,1396128.4,1.31365,0.04039,0.060983,0.002306,0.060998,0.001875
50,0.101461,1,0.6649,85.1078,10.4902,2.6225,11.196,0.000471,-0.000123,0.066615,0.405,10.791,1396128.2,1.31365,0.04039,0.060983,0.002306,0.060998,0.001875
50,0.101461,2,0.6649,85.1078,10.4902,2.6225,11.196,0.000471,-0.000123,0.066615,0.405,10.791,1396127.3,1.31366,0.04039,0.060984,0.002306,0.060998,0.001875
50,0.101461,3,0.6649,85.1078,10.4902,2.6225,11.196,0.000471,-0.000123,0.066615,0.405,10.791,1396128.9,1.31364,0.04039,0.060983,0.002306,0.060998,0.001875
75,0.151197,0,0.6649,85.1078,10.4902,2.6225,11.196,0.000558,-0.000203,0.066696,0.480,10.716,1397821.0,1.30768,0.03984,0.060850,0.002364,0.060868,0.001854
75,0.151197,1,0.6649,85.1078,10.4902,2.6225,11.196,0.000558,-0.000203,0.066696,0.480,10.716,1397822.3,1.30768,0.03984,0.060850,0.002364,0.060868,0.001854
75,0.151197,2,0.6649,85.1078,10.4902,2.6225,11.196,0.000558,-0.000203,0.066696,0.480,10.716,1397821.2,1.30767,0.03984,0.060850,0.002364,0.060868,0.001854
75,0.151197,3,0.6649,85.1078,10.4902,2.6225,11.196,0.000558,-0.000203,0.066696,0.480,10.716,1397822.6,1.30767,0.03984,0.060850,0.002364,0.060868,0.001854
100,0.200933,0,0.6649,85.1078,10.4902,2.6225,11.196,0.000563,-0.000289,0.066781,0.483,10.712,1399617.1,1.30593,0.04008,0.060925,0.002384,0.060943,0.001870
100,0.200933,1,0.6649,85.1078,10.4902,2.6225,11.196,0.000563,-0.000289,0.066781,0.483,10.712,1399619.2,1.30592,0.04008,0.060925,0.002384,0.060943,0.001870
100,0.200933,2,0.6649,85.1078,10.4902,2.6225,11.196,0.000563,-0.000289,0.066781,0.483,10.712,1399616.8,1.30592,0.04008,0.060925,0.002384,0.060943,0.001870
100,0.200933,3,0.6649,85.1078,10.4902,2.6225,11.196,0.000563,-0.000289,0.066781,0.483,10.712,1399618.3,1.30593,0.04008,0.060925,0.002384,0.060943,0.001870
125,0.250669,0,0.6649,85.1078,10.4902,2.6225,11.196,0.000441,-0.000400,0.066892,0.378,10.818,1401940.0,1.31010,0.04164,0.061326,0.002354,0.061341,0.001950
125,0.250669,1,0.6649,85.1078,10.4902,2.6225,11.196,0.000441,-0.000401,0.066893,0.378,10.818,1401947.7,1.31010,0.04164,0.061327,0.002354,0.061341,0.001950
125,0.250669,2,0.6649,85.1078,10.4902,2.6225,11.196,0.000441,-0.000400,0.066892,0.378,10.818,1401941.9,1.31009,0.04164,0.061326,0.002354,0.061340,0.001950
125,0.250669,3,0.6649,85.1078,10.4902,2.6225,11.196,0.000441,-0.000401,0.066893,0.377,10.818,1401948.0,1.31011,0.04165,0.061328,0.002354,0.061342,0.001950
150,0.300405,0,0.6649,85.1078,10.4902,2.6225,11.196,0.000906,-0.000621,0.067117,0.774,10.422,1406657.8,1.28355,0.03780,0.060473,0.002598,0.060503,0.001782
150,0.300405,1,0.6649,85.1078,10.4902,2.6225,11.196,0.000905,-0.000621,0.067118,0.773,10.423,1406672.6,1.28359,0.03781,0.060476,0.002598,0.060506,0.001782
150,0.300405,2,0.6649,85.1078,10.4902,2.6225,11.196,0.000906,-0.000621,0.067117,0.774,10.422,1406656.9,1.28355,0.03780,0.060473,0.002598,0.060503,0.001782
150,0.300405,3,0.6649,85.1078,10.4902,2.6225,11.196,0.000905,-0.000621,0.067118,0.772,10.423,1406672.0,1.28360,0.03781,0.060477,0.002598,0.060506,0.001782
175,0.350141,0,0.6649,85.1078,10.4902,2.6225,11.196,0.001201,-0.000878,0.067379,1.021,10.174,1412146.8,1.26603,0.03556,0.060104,0.002761,0.060144,0.001689
175,0.350141,1,0.6649,85.1078,10.4902,2.6225,11.196,0.001201,-0.000877,0.067378,1.021,10.175,1412127.9,1.26606,0.03556,0.060104,0.002761,0.060144,0.001689
175,0.350141,2,0.6649,85.1078,10.4902,2.6225,11.196,0.001202,-0.000878,0.067379,1.022,10.174,1412146.5,1.26601,0.03555,0.060103,0.002761,0.060143,0.001689
175,0.350141,3,0.6649,85.1078,10.4902,2.6225,11.196,0.001201,-0.000877,0.067378,1.021,10.175,1412127.8,1.26607,0.03556,0.060104,0.002761,0.060144,0.001689
200,0.399877,0,0.6649,85.1078,10.4902,2.6225,11.196,0.001462,-0.001159,0.067665,1.238,9.957,1418131.8,1.25065,0.03375,0.059869,0.002911,0.059918,0.001617
200,0.399877,1,0.6649,85.1078,10.4902,2.6225,11.196,0.001461,-0.001157,0.067664,1.238,9.958,1418107.1,1.25070,0.03375,0.059869,0.002911,0.059918,0.001617
200,0.399877,2,0.6649,85.1078,10.4902,2.6225,11.196,0.001462,-0.001158,0.067665,1.238,9.957,1418128.4,1.25065,0.03375,0.059868,0.002911,0.059917,0.001617
200,0.399877,3,0.6649,85.1078,10.4902,2.6225,11.196,0.001461,-0.001157,0.067664,1.237,9.958,1418106.5,1.25071,0.03375,0.059870,0.002911,0.059918,0.001617
225,0.449613,0,0.6649,85.1078,10.4902,2.6225,11.196,0.001690,-0.001446,0.067957,1.425,9.771,1424259.8,1.23682,0.03281,0.059711,0.003071,0.059768,0.001586
