step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.7896,101.0677,10.4919,2.6230,9.444,0.000587,-0.000073,0.079035,0.426,9.018,1656698.9,1.11749,0.04555,0.073030,0.003521,0.073054,0.002978
25,0.051725,1,0.7896,101.0677,10.4919,2.6230,9.444,0.000587,-0.000074,0.079035,0.426,9.018,1656700.6,1.11749,0.04555,0.073030,0.003521,0.073054,0.002978
25,0.051725,2,0.7896,101.0677,10.4919,2.6230,9.444,0.000587,-0.000073,0.079035,0.426,9.018,1656699.1,1.11749,0.04555,0.073030,0.003521,0.073054,0.002978
25,0.051725,3,0.7896,101.0677,10.4919,2.6230,9.444,0.000587,-0.000074,0.079035,0.426,9.018,1656699.5,1.11749,0.04555,0.073030,0.003521,0.073054,0.002978
50,0.101461,0,0.7896,101.0677,10.4919,2.6230,9.444,0.000920,-0.000168,0.079132,0.666,8.778,1658743.1,1.11178,0.04252,0.072823,0.003633,0.072860,0.002786
50,0.101461,1,0.7896,101.0677,10.4919,2.6230,9.444,0.000920,-0.000168,0.079132,0.666,8.778,1658742.6,1.11178,0.04252,0.072823,0.003633,0.072860,0.002786
50,0.101461,2,0.7896,101.0677,10.4919,2.6230,9.444,0.000920,-0.000168,0.079132,0.666,8.778,1658746.4,1.11178,0.04252,0.072823,0.003633,0.072860,0.002786
50,0.101461,3,0.7896,101.0677,10.4919,2.6230,9.444,0.000920,-0.000168,0.079132,0.666,8.778,1658744.3,1.11178,0.04252,0.072823,0.003633,0.072860,0.002786
75,0.151197,0,0.7896,101.0677,10.4919,2.6230,9.444,0.001678,-0.000270,0.079247,1.213,8.230,1661149.8,1.09997,0.03533,0.072230,0.003853,0.072296,0.002322
75,0.151197,1,0.7896,101.0677,10.4919,2.6230,9.444,0.001677,-0.000270,0.079247,1.213,8.231,1661148.6,1.09998,0.03534,0.072231,0.003852,0.072296,0.002323
75,0.151197,2,0.7896,101.0677,10.4919,2.6230,9.444,0.001677,-0.000270,0.079247,1.213,8.231,1661149.8,1.09998,0.03534,0.072231,0.003852,0.072297,0.002323
75,0.151197,3,0.7896,101.0677,10.4919,2.6230,9.444,0.001677,-0.000270,0.079247,1.213,8.231,1661148.3,1.09998,0.03534,0.072231,0.003852,0.072297,0.002323
100,0.200933,0,0.7896,101.0677,10.4919,2.6230,9.444,0.000672,-0.000379,0.079341,0.485,8.959,1663121.7,1.11083,0.04576,0.073155,0.003634,0.073183,0.003014
100,0.200933,1,0.7896,101.0677,10.4919,2.6230,9.444,0.000672,-0.000379,0.079341,0.485,8.959,1663120.7,1.11083,0.04575,0.073155,0.003634,0.073183,0.003014
100,0.200933,2,0.7896,101.0677,10.4919,2.6230,9.444,0.000672,-0.000379,0.079341,0.485,8.959,1663121.6,1.11083,0.04575,0.073155,0.003634,0.073183,0.003014
100,0.200933,3,0.7896,101.0677,10.4919,2.6230,9.444,0.000672,-0.000379,0.079341,0.485,8.959,1663120.6,1.11083,0.04576,0.073155,0.003634,0.073183,0.003014
125,0.250669,0,0.7896,101.0677,10.4919,2.6230,9.444,0.000609,-0.000520,0.079482,0.439,9.005,1666067.5,1.10858,0.04691,0.073268,0.003663,0.073294,0.003102
125,0.250669,1,0.7896,101.0677,10.4919,2.6230,9.444,0.000609,-0.000520,0.079482,0.439,9.005,1666070.8,1.10858,0.04691,0.073268,0.003663,0.073294,0.003102
125,0.250669,2,0.7896,101.0677,10.4919,2.6230,9.444,0.000608,-0.000521,0.079482,0.438,9.006,1666079.2,1.10856,0.04693,0.073267,0.003663,0.073293,0.003103
125,0.250669,3,0.7896,101.0677,10.4919,2.6230,9.444,0.000609,-0.000520,0.079482,0.439,9.005,1666070.1,1.10858,0.04691,0.073268,0.003663,0.073294,0.003102
150,0.300405,0,0.7896,101.0677,10.4919,2.6230,9.444,0.001181,-0.000799,0.079767,0.848,8.596,1672049.4,1.09686,0.04216,0.072991,0.003888,0.073040,0.002808
150,0.300405,1,0.7896,101.0677,10.4919,2.6230,9.444,0.001181,-0.000800,0.079767,0.849,8.595,1672057.5,1.09684,0.04216,0.072990,0.003889,0.073040,0.002807
150,0.300405,2,0.7896,101.0677,10.4919,2.6230,9.444,0.001181,-0.000799,0.079767,0.848,8.596,1672050.1,1.09685,0.04216,0.072991,0.003888,0.073040,0.002808
150,0.300405,3,0.7896,101.0677,10.4919,2.6230,9.444,0.001181,-0.000800,0.079767,0.848,8.595,1672055.4,1.09684,0.04216,0.072990,0.003889,0.073040,0.002807
175,0.350141,0,0.7896,101.0677,10.4919,2.6230,9.444,0.001601,-0.001112,0.080087,1.146,8.298,1678759.3,1.08711,0.03903,0.072907,0.004078,0.072974,0.002620
175,0.350141,1,0.7896,101.0677,10.4919,2.6230,9.444,0.001601,-0.001112,0.080088,1.146,8.298,1678767.9,1.08711,0.03903,0.072907,0.004078,0.072974,0.002620
175,0.350141,2,0.7896,101.0677,10.4919,2.6230,9.444,0.001601,-0.001112,0.080087,1.146,8.298,1678757.9,1.08711,0.03903,0.072906,0.004078,0.072973,0.002620
175,0.350141,3,0.7896,101.0677,10.4919,2.6230,9.444,0.001601,-0.001112,0.080087,1.145,8.298,1678763.5,1.08711,0.03903,0.072907,0.004078,0.072974,0.002620
200,0.399877,0,0.7896,101.0677,10.4919,2.6230,9.444,0.002008,-0.001429,0.080414,1.431,8.013,1685601.2,1.07843,0.03601,0.072898,0.004259,0.072982,0.002437
200,0.399877,1,0.7896,101.0677,10.4919,2.6230,9.444,0.002008,-0.001431,0.080415,1.431,8.013,1685630.7,1.07840,0.03601,0.072899,0.004259,0.072983,0.002437
200,0.399877,2,0.7896,101.0677,10.4919,2.6230,9.444,0.002006,-0.001429,0.080414,1.429,8.014,1685601.2,1.07844,0.03603,0.072899,0.004258,0.072983,0.002438
200,0.399877,3,0.7896,101.0677,10.4919,2.6230,9.444,0.002009,-0.001431,0.080415,1.431,8.013,1685629.0,1.07840,0.03601,0.072899,0.004259,0.072983,0.002437
225,0.449613,0,0.7896,101.0677,10.4919,2.6230,9.444,0.002367,-0.001736,0.080730,1.680,7.763,1692232.0,1.05978,0.03414,0.072186,0.004448,0.072285,0.002329
225,0.449613,1,0.7896,101.0677,10.4919,2.6230,9.444,0.002378,-0.001736,0.080731,1.688,7.756,1692246.6,1.05933,0.03406,0.072156,0.004451,0.072256,0.002323
225,0.449613,2,0.7896,101.0677,10.4919,2.6230,9.444,0.002367,-0.001736,0.080730,1.680,7.763,1692231.1,1.05978,0.03414,0.072186,0.004447,0.072285,0.002329
