step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.9143,117.0276,10.7449,2.6862,7.692,0.000415,-0.000100,0.091529,0.260,7.432,1964852.8,0.87310,0.06082,0.078370,0.005817,0.078395,0.005461
25,0.051725,1,0.9143,117.0276,10.7449,2.6862,7.692,0.000415,-0.000100,0.091529,0.260,7.432,1964854.4,0.87310,0.06082,0.078370,0.005817,0.078395,0.005461
25,0.051725,2,0.9143,117.0276,10.7449,2.6862,7.692,0.000415,-0.000100,0.091529,0.260,7.432,1964852.8,0.87310,0.06082,0.078370,0.005817,0.078395,0.005461
25,0.051725,3,0.9143,117.0276,10.7449,2.6862,7.692,0.000416,-0.000100,0.091529,0.260,7.432,1964852.6,0.87310,0.06082,0.078370,0.005817,0.078395,0.005461
50,0.101461,0,0.9143,117.0276,10.7449,2.6862,7.692,0.000712,-0.000217,0.091648,0.445,7.247,1967413.0,0.87704,0.05653,0.078913,0.005703,0.078955,0.005089
50,0.101461,1,0.9143,117.0276,10.7449,2.6862,7.692,0.000712,-0.000217,0.091648,0.445,7.247,1967412.4,0.87704,0.05653,0.078913,0.005703,0.078955,0.005089
50,0.101461,2,0.9143,117.0276,10.7449,2.6862,7.692,0.000713,-0.000217,0.091648,0.446,7.246,1967411.0,0.87705,0.05652,0.078914,0.005702,0.078956,0.005088
50,0.101461,3,0.9143,117.0276,10.7449,2.6862,7.692,0.000713,-0.000217,0.091648,0.445,7.246,1967412.5,0.87705,0.05653,0.078913,0.005702,0.078955,0.005089
75,0.151197,0,0.9143,117.0276,10.7449,2.6862,7.692,0.001269,-0.000341,0.091777,0.792,6.899,1970185.1,0.88052,0.04888,0.079423,0.005511,0.079491,0.004412
75,0.151197,1,0.9143,117.0276,10.7449,2.6862,7.692,0.001269,-0.000340,0.091777,0.793,6.899,1970182.7,0.88052,0.04887,0.079423,0.005511,0.079491,0.004412
75,0.151197,2,0.9143,117.0276,10.7449,2.6862,7.692,0.001269,-0.000340,0.091777,0.793,6.899,1970184.8,0.88052,0.04887,0.079423,0.005511,0.079491,0.004412
75,0.151197,3,0.9143,117.0276,10.7449,2.6862,7.692,0.001269,-0.000340,0.091777,0.793,6.899,1970182.3,0.88052,0.04887,0.079423,0.005511,0.079491,0.004412
100,0.200933,0,0.9143,117.0276,10.7449,2.6862,7.692,0.000867,-0.000469,0.091901,0.540,7.151,1972841.9,0.87806,0.05473,0.079433,0.005704,0.079483,0.004954
100,0.200933,1,0.9143,117.0276,10.7449,2.6862,7.692,0.000867,-0.000469,0.091901,0.541,7.151,1972841.0,0.87806,0.05473,0.079433,0.005703,0.079484,0.004954
100,0.200933,2,0.9143,117.0276,10.7449,2.6862,7.692,0.000867,-0.000469,0.091901,0.540,7.151,1972842.2,0.87806,0.05473,0.079433,0.005703,0.079484,0.004954
100,0.200933,3,0.9143,117.0276,10.7449,2.6862,7.692,0.000867,-0.000469,0.091901,0.540,7.151,1972840.5,0.87806,0.05473,0.079433,0.005704,0.079483,0.004954
125,0.250669,0,0.9143,117.0276,10.7449,2.6862,7.692,0.000927,-0.000629,0.092062,0.577,7.115,1976294.9,0.87817,0.05417,0.079718,0.005723,0.079771,0.004920
125,0.250669,1,0.9143,117.0276,10.7449,2.6862,7.692,0.000927,-0.000629,0.092061,0.577,7.115,1976290.8,0.87817,0.05416,0.079718,0.005723,0.079771,0.004920
125,0.250669,2,0.9143,117.0276,10.7449,2.6862,7.692,0.000928,-0.000629,0.092062,0.578,7.114,1976292.8,0.87819,0.05415,0.079720,0.005722,0.079773,0.004918
125,0.250669,3,0.9143,117.0276,10.7449,2.6862,7.692,0.000927,-0.000629,0.092061,0.577,7.115,1976290.5,0.87816,0.05417,0.079717,0.005723,0.079771,0.004921
150,0.300405,0,0.9143,117.0276,10.7449,2.6862,7.692,0.001665,-0.000943,0.092386,1.033,6.659,1983249.0,0.87329,0.04560,0.079799,0.005610,0.079887,0.004171
150,0.300405,1,0.9143,117.0276,10.7449,2.6862,7.692,0.001664,-0.000943,0.092386,1.032,6.660,1983251.3,0.87330,0.04561,0.079801,0.005611,0.079889,0.004173
150,0.300405,2,0.9143,117.0276,10.7449,2.6862,7.692,0.001665,-0.000943,0.092386,1.033,6.659,1983246.8,0.87329,0.04560,0.079799,0.005610,0.079887,0.004171
150,0.300405,3,0.9143,117.0276,10.7449,2.6862,7.692,0.001664,-0.000943,0.092386,1.032,6.660,1983251.0,0.87330,0.04561,0.079801,0.005611,0.079889,0.004173
175,0.350141,0,0.9143,117.0276,10.7449,2.6862,7.692,0.002284,-0.001252,0.092708,1.412,6.280,1990161.9,0.86622,0.03925,0.079681,0.005580,0.079794,0.003615
175,0.350141,1,0.9143,117.0276,10.7449,2.6862,7.692,0.002287,-0.001252,0.092708,1.414,6.278,1990173.4,0.86619,0.03921,0.079679,0.005580,0.079792,0.003612
175,0.350141,2,0.9143,117.0276,10.7449,2.6862,7.692,0.002284,-0.001252,0.092707,1.412,6.280,1990158.4,0.86622,0.03925,0.079680,0.005580,0.079794,0.003615
175,0.350141,3,0.9143,117.0276,10.7449,2.6862,7.692,0.002287,-0.001252,0.092708,1.413,6.278,1990175.4,0.86619,0.03922,0.079679,0.005580,0.079793,0.003613
200,0.399877,0,0.9143,117.0276,10.7449,2.6862,7.692,0.002886,-0.001498,0.092971,1.779,5.913,1995812.9,0.85462,0.03356,0.079039,0.005565,0.079173,0.003109
200,0.399877,1,0.9143,117.0276,10.7449,2.6862,7.692,0.002884,-0.001500,0.092973,1.777,5.915,1995849.7,0.85476,0.03358,0.079055,0.005566,0.079190,0.003111
200,0.399877,2,0.9143,117.0276,10.7449,2.6862,7.692,0.002879,-0.001498,0.092970,1.775,5.917,1995801.6,0.85500,0.03361,0.079073,0.005565,0.079207,0.003114
200,0.399877,3,0.9143,117.0276,10.7449,2.6862,7.692,0.002884,-0.001500,0.092973,1.778,5.914,1995853.7,0.85474,0.03358,0.079053,0.005566,0.079188,0.003111
225,0.449613,0,0.9143,117.0276,10.7449,2.6862,7.692,0.003445,-0.001673,0.093164,2.119,5.573,1999961.7,0.82562,0.02969,0.076651,0.005600,0.076805,0.002762
225,0.449613,1,0.9143,117.0276,10.7449,2.6862,7.692,0.003461,-0.001673,0.093165,2.129,5.563,1999982.5,0.82477,0.02956,0.076573,0.005598,0.076728,0.002750
225,0.449613,2,0.9143,117.0276,10.7449,2.6862,7.692,0.003444,-0.001673,0.093165,2.118,5.574,1999971.1,0.82568,0.02970,0.076657,0.005600,0.076811,0.002762
225,0.449613,3,0.9143,117.0276,10.7449,2.6862,7.692,0.003504,-0.001672,0.093166,2.156,5.536,1999997.1,0.82243,0.02922,0.076355,0.005595,0.076511,0.002719
250,0.499349,0,0.9143,117.0276,10.7449,2.6862,7.692,0.003906,-0.001716,0.093226,2.401,5.290,2001283.3,0.80146,0.02622,0.074488,0.005569,0.074656,0.002443
250,0.499349,1,0.9143,117.0276,10.7449,2.6862,7.692,0.003903,-0.001714,0.093224,2.399,5.293,2001237.3,0.80162,0.02624,0.074500,0.005568,0.074668,0.002445
250,0.499349,2,0.9143,117.0276,10.7449,2.6862,7.692,0.003924,-0.001716,0.093226,2.413,5.279,2001296.9,0.80049,0.02608,0.074399,0.005566,0.074567,0.002430
250,0.499349,3,0.9143,117.0276,10.7449,2.6862,7.692,0.003900,-0.001713,0.093223,2.398,5.294,2001219.6,0.80174,0.02626,0.074510,0.005568,0.074678,0.002446
275,0.549085,0,0.9143,117.0276,10.7449,2.6862,7.692,0.004757,-0.001470,0.093020,2.931,4.760,1996857.7,0.74404,0.02021,0.068815,0.005400,0.069001,0.001874
275,0.549085,1,0.9143,117.0276,10.7449,2.6862,7.692,0.004762,-0.001470,0.093020,2.935,4.757,1996863.5,0.74364,0.02018,0.068779,0.005400,0.068965,0.001872
275,0.549085,2,0.9143,117.0276,10.7449,2.6862,7.692,0.004757,-0.001470,0.093020,2.931,4.761,1996860.4,0.74406,0.02021,0.068817,0.005400,0.069003,0.001874
275,0.549085,3,0.9143,117.0276,10.7449,2.6862,7.692,0.004758,-0.001471,0.093020,2.932,4.760,1996874.0,0.74398,0.02020,0.068811,0.005400,0.068997,0.001874
300,0.598820,0,0.9143,117.0276,10.7449,2.6862,7.692,0.005584,-0.001501,0.093097,3.439,4.253,1998517.8,0.68061,0.01621,0.063020,0.005296,0.063224,0.001506
300,0.598820,1,0.9143,117.0276,10.7449,2.6862,7.692,0.005583,-0.001499,0.093094,3.438,4.254,1998459.4,0.68067,0.01621,0.063021,0.005295,0.063225,0.001506
300,0.598820,2,0.9143,117.0276,10.7449,2.6862,7.692,0.005583,-0.001502,0.093097,3.438,4.254,1998518.5,0.68069,0.01622,0.063027,0.005296,0.063231,0.001506
300,0.598820,3,0.9143,117.0276,10.7449,2.6862,7.692,0.005582,-0.001499,0.093095,3.438,4.254,1998469.0,0.68077,0.01622,0.063032,0.005296,0.063236,0.001507
325,0.648556,0,0.9143,117.0276,10.7449,2.6862,7.692,0.005836,-0.001658,0.093269,3.587,4.105,2002212.2,0.66328,0.01521,0.061632,0.005285,0.061842,0.001418
325,0.648556,1,0.9143,117.0276,10.7449,2.6862,7.692,0.005836,-0.001657,0.093268,3.587,4.105,2002186.4,0.66325,0.01521,0.061628,0.005284,0.061838,0.001418
325,0.648556,2,0.9143,117.0276,10.7449,2.6862,7.692,0.005835,-0.001658,0.093269,3.587,4.105,2002201.7,0.66333,0.01521,0.061637,0.005285,0.061846,0.001418
325,0.648556,3,0.9143,117.0276,10.7449,2.6862,7.692,0.005835,-0.001658,0.093268,3.587,4.105,2002198.2,0.66333,0.01521,0.061636,0.005285,0.061846,0.001418
350,0.698292,0,0.9143,117.0276,10.7449,2.6862,7.692,0.006445,-0.001831,0.093481,3.953,3.739,2006768.0,0.61335,0.01377,0.057222,0.005247,0.057448,0.001290
350,0.698292,1,0.9143,117.0276,10.7449,2.6862,7.692,0.006447,-0.001834,0.093485,3.954,3.738,2006839.4,0.61322,0.01377,0.057214,0.005248,0.057439,0.001290
350,0.698292,2,0.9143,117.0276,10.7449,2.6862,7.692,0.006441,-0.001828,0.093478,3.951,3.741,2006688.5,0.61359,0.01378,0.057240,0.005247,0.057466,0.001290
350,0.698292,3,0.9143,117.0276,10.7449,2.6862,7.692,0.006445,-0.001832,0.093483,3.953,3.739,2006795.5,0.61336,0.01377,0.057224,0.005248,0.057450,0.001290
375,0.748028,0,0.9143,117.0276,10.7449,2.6862,7.692,0.007058,-0.001930,0.093625,4.323,3.369,2009844.4,0.55991,0.01274,0.052363,0.005159,0.052603,0.001197
375,0.748028,1,0.9143,117.0276,10.7449,2.6862,7.692,0.007056,-0.001928,0.093622,4.322,3.370,2009798.9,0.56004,0.01274,0.052373,0.005159,0.052613,0.001197
375,0.748028,2,0.9143,117.0276,10.7449,2.6862,7.692,0.007056,-0.001929,0.093623,4.322,3.370,2009817.3,0.56007,0.01274,0.052376,0.005159,0.052616,0.001197
375,0.748028,3,0.9143,117.0276,10.7449,2.6862,7.692,0.007052,-0.001926,0.093620,4.320,3.372,2009753.1,0.56035,0.01274,0.052400,0.005159,0.052639,0.001197
400,0.797764,0,0.9143,117.0276,10.7449,2.6862,7.692,0.007796,-0.002082,0.093834,4.766,2.926,2014346.7,0.49575,0.01159,0.046531,0.004977,0.046784,0.001094
400,0.797764,1,0.9143,117.0276,10.7449,2.6862,7.692,0.007792,-0.002071,0.093823,4.764,2.928,2014101.9,0.49592,0.01158,0.046536,0.004975,0.046789,0.001093
400,0.797764,2,0.9143,117.0276,10.7449,2.6862,7.692,0.007789,-0.002070,0.093822,4.762,2.930,2014076.4,0.49616,0.01159,0.046558,0.004976,0.046810,0.001093
400,0.797764,3,0.9143,117.0276,10.7449,2.6862,7.692,0.009236,-0.002064,0.093947,5.642,2.050,2016774.0,0.36489,0.01068,0.034251,0.004399,0.034517,0.001011
425,0.847500,0,0.9143,117.0276,10.7449,2.6862,7.692,0.008379,-0.002287,0.094088,5.109,2.583,2019797.0,0.44553,0.01130,0.042009,0.004832,0.042273,0.001072
425,0.847500,1,0.9143,117.0276,10.7449,2.6862,7.692,0.008341,-0.002264,0.094063,5.088,2.604,2019246.9,0.44863,0.01132,0.042280,0.004842,0.042543,0.001073
425,0.847500,2,0.9143,117.0276,10.7449,2.6862,7.692,0.008512,-0.002267,0.094080,5.191,2.501,2019626.1,0.43317,0.01121,0.040828,0.004777,0.041093,0.001063
425,0.847500,3,0.9143,117.0276,10.7449,2.6862,7.692,0.008479,-0.002220,0.094030,5.173,2.519,2018558.7,0.43557,0.01121,0.041013,0.004780,0.041277,0.001063
450,0.897236,0,0.9143,117.0276,10.7449,2.6862,7.692,0.008956,-0.002448,0.094302,5.450,2.242,2024381.0,0.39519,0.01095,0.037397,0.004616,0.037667,0.001044
450,0.897236,1,0.9143,117.0276,10.7449,2.6862,7.692,0.009019,-0.002453,0.094313,5.488,2.204,2024630.2,0.38957,0.01091,0.036871,0.004587,0.037140,0.001040
450,0.897236,2,0.9143,117.0276,10.7449,2.6862,7.692,0.008951,-0.002446,0.094299,5.447,2.245,2024326.4,0.39565,0.01095,0.037439,0.004618,0.037708,0.001044
450,0.897236,3,0.9143,117.0276,10.7449,2.6862,7.692,0.008952,-0.002425,0.094279,5.449,2.243,2023887.3,0.39525,0.01095,0.037385,0.004614,0.037654,0.001043
475,0.946972,0,0.9143,117.0276,10.7449,2.6862,7.692,0.009384,-0.002590,0.094485,5.700,1.992,2028314.5,0.35825,0.01067,0.034008,0.004420,0.034279,0.001021
475,0.946972,1,0.9143,117.0276,10.7449,2.6862,7.692,0.009419,-0.002587,0.094486,5.721,1.971,2028335.7,0.35504,0.01066,0.033701,0.004401,0.033972,0.001020
475,0.946972,2,0.9143,117.0276,10.7449,2.6862,7.692,0.009424,-0.002590,0.094489,5.724,1.968,2028397.3,0.35463,0.01065,0.033664,0.004399,0.033935,0.001020
475,0.946972,3,0.9143,117.0276,10.7449,2.6862,7.692,0.009429,-0.002568,0.094468,5.728,1.964,2027951.1,0.35393,0.01065,0.033582,0.004393,0.033853,0.001019
500,0.996708,0,0.9143,117.0276,10.7449,2.6862,7.692,0.009440,-0.002775,0.094675,5.723,1.969,2032389.8,0.35556,0.01067,0.033885,0.004426,0.034158,0.001025
500,0.996708,1,0.9143,117.0276,10.7449,2.6862,7.692,0.009459,-0.002792,0.094693,5.733,1.959,2032791.7,0.35406,0.01067,0.033755,0.004419,0.034028,0.001025
500,0.996708,2,0.9143,117.0276,10.7449,2.6862,7.692,0.009600,-0.002785,0.094701,5.818,1.874,2032950.5,0.34137,0.01062,0.032540,0.004342,0.032813,0.001021
500,0.996708,3,0.9143,117.0276,10.7449,2.6862,7.692,0.009668,-0.002778,0.094701,5.860,1.832,2032952.3,0.33513,0.01060,0.031941,0.004302,0.032213,0.001019
525,1.046444,0,0.9143,117.0276,10.7449,2.6862,7.692,0.010130,-0.002730,0.094701,6.140,1.552,2032953.9,0.29302,0.01046,0.027897,0.004013,0.028166,0.001006
525,1.046444,1,0.9143,117.0276,10.7449,2.6862,7.692,0.010101,-0.002770,0.094738,6.120,1.572,2033746.6,0.29614,0.01047,0.028218,0.004039,0.028488,0.001007
525,1.046444,2,0.9143,117.0276,10.7449,2.6862,7.692,0.010034,-0.002797,0.094758,6.078,1.614,2034166.4,0.30252,0.01050,0.028843,0.004087,0.029113,0.001010
525,1.046444,3,0.9143,117.0276,10.7449,2.6862,7.692,0.010208,-0.002857,0.094836,6.179,1.513,2035849.3,0.28760,0.01045,0.027454,0.003985,0.027723,0.001007
550,1.096180,0,0.9143,117.0276,10.7449,2.6862,7.692,0.010674,-0.002909,0.094938,6.455,1.237,2038048.4,0.24644,0.01031,0.023544,0.003666,0.023807,0.000996
550,1.096180,1,0.9143,117.0276,10.7449,2.6862,7.692,0.010649,-0.002932,0.094959,6.439,1.253,2038482.3,0.24890,0.01032,0.023791,0.003688,0.024055,0.000997
550,1.096180,2,0.9143,117.0276,10.7449,2.6862,7.692,0.010628,-0.002876,0.094901,6.430,1.262,2037236.7,0.25009,0.01032,0.023877,0.003693,0.024141,0.000996
550,1.096180,3,0.9143,117.0276,10.7449,2.6862,7.692,0.010570,-0.002933,0.094951,6.392,1.300,2038329.5,0.25602,0.01034,0.024475,0.003747,0.024740,0.000999
