step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.3064,39.2231,10.4902,2.6226,16.232,-0.004212,-0.000046,0.030977,-7.814,24.047,649217.4,1.04532,0.41046,0.010959,0.002656,0.010496,0.004121
25,0.051725,1,0.3064,39.2231,10.4902,2.6226,16.232,-0.000141,-0.000046,0.030689,-0.263,16.496,643192.0,1.25751,0.11018,0.012398,0.001029,0.012393,0.001086
25,0.051725,2,0.3064,39.2231,10.4902,2.6226,16.232,0.000522,-0.000046,0.030693,0.975,15.257,643276.3,1.31829,0.09780,0.012977,0.001185,0.012995,0.000964
25,0.051725,3,0.3064,39.2231,10.4902,2.6226,16.232,0.000896,-0.000049,0.030705,1.673,14.559,643527.3,1.35860,0.07530,0.013376,0.001134,0.013403,0.000743
50,0.101461,0,0.3064,39.2231,10.4902,2.6226,16.232,0.002649,-0.000121,0.030877,4.921,11.311,647136.5,1.34060,0.02460,0.013304,0.001392,0.013374,0.000245
50,0.101461,1,0.3064,39.2231,10.4902,2.6226,16.232,0.001642,-0.000118,0.030805,3.055,13.177,645613.5,1.45994,0.03383,0.014458,0.001108,0.014496,0.000336
50,0.101461,2,0.3064,39.2231,10.4902,2.6226,16.232,-0.001119,-0.000117,0.030781,-2.083,18.315,645110.6,1.18456,0.16215,0.011795,0.001180,0.011744,0.001608
50,0.101461,3,0.3064,39.2231,10.4902,2.6226,16.232,0.002393,-0.000116,0.030852,4.448,11.784,646595.1,1.38117,0.02597,0.013695,0.001325,0.013756,0.000259
75,0.151197,0,0.3064,39.2231,10.4902,2.6226,16.232,0.001113,-0.000193,0.030856,2.066,14.166,646697.1,1.38352,0.05729,0.013754,0.001067,0.013784,0.000571
75,0.151197,1,0.3064,39.2231,10.4902,2.6226,16.232,0.001026,-0.000192,0.030852,1.906,14.326,646606.3,1.37365,0.06461,0.013653,0.001098,0.013682,0.000644
75,0.151197,2,0.3064,39.2231,10.4902,2.6226,16.232,0.000980,-0.000197,0.030855,1.819,14.413,646672.3,1.36839,0.06856,0.013604,0.001115,0.013632,0.000683
75,0.151197,3,0.3064,39.2231,10.4902,2.6226,16.232,0.001046,-0.000195,0.030855,1.942,14.290,646673.9,1.37590,0.06297,0.013678,0.001091,0.013707,0.000627
100,0.200933,0,0.3064,39.2231,10.4902,2.6226,16.232,0.000163,-0.000274,0.030917,0.302,15.930,647967.6,1.28527,0.10390,0.012850,0.001107,0.012855,0.001039
100,0.200933,1,0.3064,39.2231,10.4902,2.6226,16.232,0.000173,-0.000276,0.030919,0.320,15.912,648016.3,1.28623,0.10373,0.012861,0.001109,0.012867,0.001038
100,0.200933,2,0.3064,39.2231,10.4902,2.6226,16.232,0.000174,-0.000275,0.030919,0.322,15.910,648004.2,1.28632,0.10371,0.012861,0.001110,0.012867,0.001037
100,0.200933,3,0.3064,39.2231,10.4902,2.6226,16.232,0.000164,-0.000277,0.030920,0.303,15.929,648039.0,1.28539,0.10388,0.012854,0.001107,0.012859,0.001039
125,0.250669,0,0.3064,39.2231,10.4902,2.6226,16.232,-0.000057,-0.000389,0.031032,-0.105,16.337,650372.6,1.26888,0.10793,0.012788,0.001064,0.012786,0.001088
125,0.250669,1,0.3064,39.2231,10.4902,2.6226,16.232,-0.000049,-0.000388,0.031031,-0.090,16.322,650363.8,1.26957,0.10776,0.012794,0.001066,0.012792,0.001086
125,0.250669,2,0.3064,39.2231,10.4902,2.6226,16.232,-0.000066,-0.000388,0.031031,-0.122,16.354,650359.9,1.26813,0.10811,0.012780,0.001062,0.012778,0.001089
125,0.250669,3,0.3064,39.2231,10.4902,2.6226,16.232,-0.000061,-0.000386,0.031029,-0.113,16.345,650310.6,1.26849,0.10802,0.012782,0.001063,0.012780,0.001088
