step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.2753,35.2331,10.4902,2.6226,16.670,0.002849,-0.000043,0.027715,5.900,10.771,580863.1,1.28399,0.02364,0.010246,0.001250,0.010320,0.000190
25,0.051725,1,0.2753,35.2331,10.4902,2.6226,16.670,0.002550,-0.000042,0.027686,5.286,11.385,580243.9,1.33805,0.02529,0.010668,0.001191,0.010732,0.000203
25,0.051725,2,0.2753,35.2331,10.4902,2.6226,16.670,0.002673,-0.000042,0.027697,5.538,11.132,580488.3,1.31661,0.02455,0.010501,0.001216,0.010569,0.000197
25,0.051725,3,0.2753,35.2331,10.4902,2.6226,16.670,0.003165,-0.000043,0.027750,6.548,10.122,581592.9,1.22334,0.02218,0.009773,0.001302,0.009858,0.000179
50,0.101461,0,0.2753,35.2331,10.4902,2.6226,16.670,0.002638,-0.000106,0.027758,5.453,11.217,581758.9,1.32400,0.02479,0.010607,0.001213,0.010675,0.000200
50,0.101461,1,0.2753,35.2331,10.4902,2.6226,16.670,0.003125,-0.000109,0.027811,6.452,10.218,582867.9,1.23246,0.02239,0.009891,0.001301,0.009975,0.000181
50,0.101461,2,0.2753,35.2331,10.4902,2.6226,16.670,0.005707,-0.000115,0.028224,11.666,5.004,591519.6,0.68029,0.01545,0.005527,0.001273,0.005670,0.000129
50,0.101461,3,0.2753,35.2331,10.4902,2.6226,16.670,-0.001217,-0.000111,0.027664,-2.521,19.191,579792.7,1.11690,0.21073,0.009010,0.001292,0.008944,0.001688
75,0.151197,0,0.2753,35.2331,10.4902,2.6226,16.670,0.001619,-0.000182,0.027755,3.344,13.326,581690.9,1.44509,0.03653,0.011611,0.000973,0.011648,0.000294
75,0.151197,1,0.2753,35.2331,10.4902,2.6226,16.670,0.001991,-0.000184,0.027782,4.110,12.560,582254.7,1.43187,0.02926,0.011517,0.001065,0.011564,0.000236
75,0.151197,2,0.2753,35.2331,10.4902,2.6226,16.670,0.002103,-0.000180,0.027786,4.340,12.330,582341.1,1.41493,0.02836,0.011381,0.001094,0.011431,0.000229
75,0.151197,3,0.2753,35.2331,10.4902,2.6226,16.670,0.001883,-0.000183,0.027772,3.887,12.783,582061.6,1.44827,0.03012,0.011645,0.001035,0.011689,0.000243
100,0.200933,0,0.2753,35.2331,10.4902,2.6226,16.670,0.001247,-0.000265,0.027819,2.570,14.100,583029.5,1.40075,0.05191,0.011313,0.000929,0.011343,0.000420
100,0.200933,1,0.2753,35.2331,10.4902,2.6226,16.670,0.001237,-0.000259,0.027812,2.549,14.121,582900.3,1.39977,0.05275,0.011300,0.000930,0.011330,0.000427
100,0.200933,2,0.2753,35.2331,10.4902,2.6226,16.670,0.001238,-0.000253,0.027807,2.551,14.119,582783.0,1.39990,0.05266,0.011296,0.000930,0.011326,0.000426
100,0.200933,3,0.2753,35.2331,10.4902,2.6226,16.670,0.001267,-0.000269,0.027824,2.610,14.060,583138.8,1.40258,0.05037,0.011332,0.000925,0.011362,0.000408
125,0.250669,0,0.2753,35.2331,10.4902,2.6226,16.670,0.001248,-0.000364,0.027918,2.562,14.108,585104.3,1.39988,0.05232,0.011386,0.000937,0.011417,0.000427
125,0.250669,1,0.2753,35.2331,10.4902,2.6226,16.670,0.001288,-0.000371,0.027927,2.644,14.026,585294.1,1.40371,0.04912,0.011425,0.000929,0.011455,0.000401
125,0.250669,2,0.2753,35.2331,10.4902,2.6226,16.670,0.001297,-0.000370,0.027926,2.661,14.009,585284.2,1.40453,0.04845,0.011431,0.000927,0.011462,0.000395
125,0.250669,3,0.2753,35.2331,10.4902,2.6226,16.670,0.001316,-0.000375,0.027932,2.700,13.970,585411.2,1.40672,0.04759,0.011453,0.000929,0.011485,0.000389
150,0.300405,0,0.2753,35.2331,10.4902,2.6226,16.670,0.001687,-0.000545,0.028121,3.439,13.231,589373.6,1.45125,0.03490,0.011970,0.001009,0.012009,0.000289
150,0.300405,1,0.2753,35.2331,10.4902,2.6226,16.670,0.001742,-0.000559,0.028139,3.549,13.121,589741.6,1.45800,0.03300,0.012040,0.001021,0.012080,0.000273
150,0.300405,2,0.2753,35.2331,10.4902,2.6226,16.670,0.001717,-0.000549,0.028128,3.499,13.171,589505.9,1.45494,0.03386,0.012005,0.001015,0.012045,0.000280
150,0.300405,3,0.2753,35.2331,10.4902,2.6226,16.670,0.001731,-0.000558,0.028138,3.528,13.143,589715.2,1.45670,0.03337,0.012028,0.001018,0.012068,0.000276
175,0.350141,0,0.2753,35.2331,10.4902,2.6226,16.670,0.002013,-0.000793,0.028390,4.067,12.604,595013.0,1.43702,0.02932,0.012072,0.001106,0.012120,0.000247
175,0.350141,1,0.2753,35.2331,10.4902,2.6226,16.670,0.002036,-0.000795,0.028394,4.111,12.559,595081.6,1.43371,0.02914,0.012046,0.001112,0.012095,0.000246
175,0.350141,2,0.2753,35.2331,10.4902,2.6226,16.670,0.001943,-0.000779,0.028371,3.927,12.743,594608.6,1.44729,0.02986,0.012144,0.001086,0.012190,0.000252
175,0.350141,3,0.2753,35.2331,10.4902,2.6226,16.670,0.002079,-0.000777,0.028379,4.201,12.469,594785.0,1.42703,0.02880,0.011976,0.001123,0.012026,0.000243
200,0.399877,0,0.2753,35.2331,10.4902,2.6226,16.670,0.002054,-0.001036,0.028635,4.113,12.557,600144.2,1.43439,0.02910,0.012258,0.001132,0.012307,0.000250
200,0.399877,1,0.2753,35.2331,10.4902,2.6226,16.670,0.001896,-0.001020,0.028609,3.800,12.870,599591.4,1.45741,0.03031,0.012437,0.001086,0.012482,0.000260
200,0.399877,2,0.2753,35.2331,10.4902,2.6226,16.670,0.001829,-0.001028,0.028613,3.665,13.005,599676.0,1.46668,0.03090,0.012522,0.001067,0.012565,0.000265
200,0.399877,3,0.2753,35.2331,10.4902,2.6226,16.670,0.002007,-0.001040,0.028637,4.020,12.650,600172.1,1.44127,0.02945,0.012319,0.001119,0.012367,0.000253
225,0.449613,0,0.2753,35.2331,10.4902,2.6226,16.670,0.002114,-0.001300,0.028904,4.194,12.476,605768.6,1.42924,0.02874,0.012442,0.001164,0.012494,0.000251
225,0.449613,1,0.2753,35.2331,10.4902,2.6226,16.670,0.002975,-0.001344,0.029023,5.883,10.787,608276.3,1.28887,0.02349,0.011279,0.001370,0.011360,0.000207
225,0.449613,2,0.2753,35.2331,10.4902,2.6226,16.670,0.003351,-0.001317,0.029036,6.627,10.043,608553.5,1.21893,0.02183,0.010660,0.001432,0.010754,0.000193
225,0.449613,3,0.2753,35.2331,10.4902,2.6226,16.670,-0.002232,-0.001343,0.028955,-4.422,21.092,606844.8,1.08556,0.29349,0.009694,0.001833,0.009523,0.002575
250,0.499349,0,0.2753,35.2331,10.4902,2.6226,16.670,0.002840,-0.001494,0.029159,5.589,11.082,611118.6,1.31623,0.02418,0.011634,0.001354,0.011710,0.000215
250,0.499349,1,0.2753,35.2331,10.4902,2.6226,16.670,0.001702,-0.001523,0.029099,3.353,13.317,609863.4,1.44686,0.03644,0.012779,0.001072,0.012820,0.000323
250,0.499349,2,0.2753,35.2331,10.4902,2.6226,16.670,-0.005124,-0.001457,0.029432,-10.025,26.695,616853.1,0.99545,0.49645,0.009669,0.002861,0.009023,0.004500
250,0.499349,3,0.2753,35.2331,10.4902,2.6226,16.670,0.002600,-0.001511,0.029153,5.116,11.554,610993.3,1.35660,0.02556,0.011996,0.001302,0.012064,0.000227
275,0.549085,0,0.2753,35.2331,10.4902,2.6226,16.670,0.002854,-0.001778,0.029443,5.563,11.107,617070.3,1.31917,0.02421,0.011888,0.001379,0.011966,0.000220
275,0.549085,1,0.2753,35.2331,10.4902,2.6226,16.670,0.002673,-0.001804,0.029452,5.208,11.462,617255.9,1.34957,0.02525,0.012178,0.001340,0.012249,0.000229
275,0.549085,2,0.2753,35.2331,10.4902,2.6226,16.670,0.002738,-0.001762,0.029416,5.340,11.330,616504.3,1.33815,0.02486,0.012042,0.001352,0.012116,0.000225
275,0.549085,3,0.2753,35.2331,10.4902,2.6226,16.670,0.001544,-0.001784,0.029350,3.015,13.655,615131.2,1.42318,0.04264,0.012791,0.001059,0.012829,0.000384
300,0.598820,0,0.2753,35.2331,10.4902,2.6226,16.670,0.002098,-0.002118,0.029718,4.048,12.622,622846.7,1.44258,0.02915,0.013279,0.001210,0.013332,0.000269
