step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.3999,51.1930,10.4902,2.6226,14.918,-0.000177,-0.000037,0.040032,-0.254,15.172,839007.7,1.48981,0.06831,0.024988,0.001035,0.024983,0.001145
25,0.051725,1,0.3999,51.1930,10.4902,2.6226,14.918,0.000291,-0.000037,0.040033,0.417,14.502,839013.5,1.49919,0.05453,0.025133,0.001097,0.025141,0.000914
25,0.051725,2,0.3999,51.1930,10.4902,2.6226,14.918,0.000121,-0.000037,0.040032,0.173,14.745,838993.9,1.49684,0.06033,0.025097,0.001087,0.025100,0.001012
25,0.051725,3,0.3999,51.1930,10.4902,2.6226,14.918,-0.000353,-0.000038,0.040034,-0.505,15.424,839052.8,1.48314,0.07109,0.024884,0.000973,0.024874,0.001192
50,0.101461,0,0.3999,51.1930,10.4902,2.6226,14.918,0.001074,-0.000094,0.040103,1.535,13.383,840494.0,1.50405,0.03549,0.025286,0.001275,0.025311,0.000597
50,0.101461,1,0.3999,51.1930,10.4902,2.6226,14.918,0.000895,-0.000094,0.040098,1.279,13.640,840391.2,1.50434,0.03842,0.025289,0.001211,0.025310,0.000646
50,0.101461,2,0.3999,51.1930,10.4902,2.6226,14.918,0.001038,-0.000099,0.040107,1.484,13.435,840577.1,1.50415,0.03608,0.025294,0.001263,0.025318,0.000607
50,0.101461,3,0.3999,51.1930,10.4902,2.6226,14.918,0.000304,-0.000099,0.040095,0.434,14.484,840320.4,1.50027,0.05399,0.025230,0.001099,0.025237,0.000908
75,0.151197,0,0.3999,51.1930,10.4902,2.6226,14.918,0.000540,-0.000158,0.040156,0.771,14.148,841602.3,1.50417,0.04595,0.025367,0.001117,0.025380,0.000775
75,0.151197,1,0.3999,51.1930,10.4902,2.6226,14.918,0.000502,-0.000158,0.040155,0.716,14.202,841587.7,1.50367,0.04723,0.025359,0.001114,0.025371,0.000797
75,0.151197,2,0.3999,51.1930,10.4902,2.6226,14.918,0.000478,-0.000158,0.040156,0.682,14.236,841590.9,1.50337,0.04803,0.025355,0.001112,0.025366,0.000810
75,0.151197,3,0.3999,51.1930,10.4902,2.6226,14.918,0.000512,-0.000158,0.040156,0.731,14.187,841597.4,1.50381,0.04688,0.025362,0.001115,0.025374,0.000791
