step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.8208,105.0577,10.4880,2.6220,9.006,0.000144,-0.000093,0.082170,0.100,8.905,1721775.9,0.96516,0.07439,0.068166,0.005374,0.068175,0.005255
25,0.051725,1,0.8208,105.0577,10.4880,2.6220,9.006,0.000144,-0.000093,0.082170,0.100,8.905,1721777.2,0.96516,0.07439,0.068166,0.005374,0.068175,0.005255
25,0.051725,2,0.8208,105.0577,10.4880,2.6220,9.006,0.000144,-0.000093,0.082170,0.100,8.905,1721776.1,0.96516,0.07439,0.068166,0.005374,0.068175,0.005255
25,0.051725,3,0.8208,105.0577,10.4880,2.6220,9.006,0.000144,-0.000093,0.082170,0.100,8.905,1721776.3,0.96516,0.07439,0.068166,0.005374,0.068175,0.005255
50,0.101461,0,0.8208,105.0577,10.4880,2.6220,9.006,0.000113,-0.000206,0.082282,0.079,8.927,1724136.6,0.96399,0.07526,0.068272,0.005424,0.068279,0.005331
50,0.101461,1,0.8208,105.0577,10.4880,2.6220,9.006,0.000113,-0.000206,0.082282,0.079,8.927,1724136.0,0.96399,0.07526,0.068272,0.005424,0.068279,0.005331
50,0.101461,2,0.8208,105.0577,10.4880,2.6220,9.006,0.000113,-0.000206,0.082283,0.079,8.927,1724140.8,0.96398,0.07525,0.068272,0.005424,0.068279,0.005330
50,0.101461,3,0.8208,105.0577,10.4880,2.6220,9.006,0.000113,-0.000206,0.082282,0.079,8.927,1724136.9,0.96399,0.07526,0.068272,0.005424,0.068279,0.005330
75,0.151197,0,0.8208,105.0577,10.4880,2.6220,9.006,-0.000841,-0.000324,0.082405,-0.585,9.591,1726708.6,0.94352,0.09031,0.067091,0.005731,0.067029,0.006416
75,0.151197,1,0.8208,105.0577,10.4880,2.6220,9.006,-0.000839,-0.000324,0.082405,-0.584,9.589,1726707.3,0.94357,0.09028,0.067095,0.005731,0.067033,0.006414
