step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.7584,97.0777,10.4909,2.6227,9.882,0.000352,-0.000065,0.075907,0.265,9.616,1590987.9,1.15796,0.04634,0.069807,0.003118,0.069820,0.002794
25,0.051725,1,0.7584,97.0777,10.4909,2.6227,9.882,0.000352,-0.000065,0.075908,0.265,9.616,1590989.6,1.15795,0.04634,0.069807,0.003118,0.069821,0.002794
25,0.051725,2,0.7584,97.0777,10.4909,2.6227,9.882,0.000352,-0.000065,0.075907,0.265,9.616,1590987.8,1.15796,0.04634,0.069807,0.003118,0.069820,0.002794
25,0.051725,3,0.7584,97.0777,10.4909,2.6227,9.882,0.000352,-0.000065,0.075907,0.265,9.616,1590988.3,1.15796,0.04634,0.069807,0.003118,0.069820,0.002794
50,0.101461,0,0.7584,97.0777,10.4909,2.6227,9.882,0.000538,-0.000150,0.075994,0.405,9.476,1592797.9,1.15883,0.04424,0.070012,0.003169,0.070032,0.002673
50,0.101461,1,0.7584,97.0777,10.4909,2.6227,9.882,0.000538,-0.000150,0.075994,0.405,9.476,1592797.4,1.15883,0.04424,0.070012,0.003169,0.070032,0.002673
50,0.101461,2,0.7584,97.0777,10.4909,2.6227,9.882,0.000538,-0.000150,0.075994,0.405,9.476,1592798.6,1.15883,0.04423,0.070012,0.003169,0.070032,0.002673
50,0.101461,3,0.7584,97.0777,10.4909,2.6227,9.882,0.000538,-0.000150,0.075994,0.405,9.476,1592797.9,1.15883,0.04423,0.070012,0.003169,0.070032,0.002673
75,0.151197,0,0.7584,97.0777,10.4909,2.6227,9.882,0.000770,-0.000243,0.076089,0.580,9.302,1594795.5,1.16028,0.04156,0.070267,0.003229,0.070296,0.002518
75,0.151197,1,0.7584,97.0777,10.4909,2.6227,9.882,0.000770,-0.000243,0.076089,0.580,9.302,1594795.4,1.16028,0.04156,0.070267,0.003229,0.070296,0.002518
75,0.151197,2,0.7584,97.0777,10.4909,2.6227,9.882,0.000770,-0.000243,0.076089,0.580,9.302,1594795.9,1.16028,0.04156,0.070267,0.003229,0.070296,0.002518
75,0.151197,3,0.7584,97.0777,10.4909,2.6227,9.882,0.000770,-0.000243,0.076089,0.580,9.302,1594794.7,1.16028,0.04156,0.070267,0.003229,0.070296,0.002518
100,0.200933,0,0.7584,97.0777,10.4909,2.6227,9.882,0.000638,-0.000343,0.076188,0.480,9.402,1596860.1,1.15834,0.04335,0.070336,0.003222,0.070360,0.002633
100,0.200933,1,0.7584,97.0777,10.4909,2.6227,9.882,0.000638,-0.000343,0.076188,0.480,9.402,1596859.5,1.15834,0.04335,0.070336,0.003222,0.070360,0.002633
100,0.200933,2,0.7584,97.0777,10.4909,2.6227,9.882,0.000639,-0.000343,0.076188,0.480,9.402,1596859.6,1.15834,0.04334,0.070336,0.003222,0.070360,0.002633
