step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.7740,99.0727,10.4921,2.6230,9.663,0.000485,-0.000068,0.077470,0.359,9.304,1623920.7,1.14406,0.04488,0.071841,0.003269,0.071860,0.002819
25,0.051725,1,0.7740,99.0727,10.4921,2.6230,9.663,0.000485,-0.000068,0.077470,0.359,9.304,1623922.4,1.14406,0.04488,0.071841,0.003269,0.071860,0.002819
25,0.051725,2,0.7740,99.0727,10.4921,2.6230,9.663,0.000485,-0.000068,0.077470,0.359,9.304,1623920.6,1.14406,0.04488,0.071841,0.003269,0.071860,0.002819
25,0.051725,3,0.7740,99.0727,10.4921,2.6230,9.663,0.000485,-0.000068,0.077470,0.359,9.304,1623921.1,1.14406,0.04488,0.071841,0.003269,0.071860,0.002819
50,0.101461,0,0.7740,99.0727,10.4921,2.6230,9.663,0.000772,-0.000156,0.077561,0.570,9.093,1625827.5,1.14621,0.04157,0.072134,0.003335,0.072164,0.002617
50,0.101461,1,0.7740,99.0727,10.4921,2.6230,9.663,0.000772,-0.000156,0.077561,0.570,9.093,1625826.8,1.14621,0.04157,0.072134,0.003335,0.072164,0.002617
50,0.101461,2,0.7740,99.0727,10.4921,2.6230,9.663,0.000772,-0.000156,0.077561,0.570,9.093,1625829.8,1.14621,0.04157,0.072135,0.003335,0.072164,0.002617
50,0.101461,3,0.7740,99.0727,10.4921,2.6230,9.663,0.000772,-0.000156,0.077561,0.570,9.093,1625828.1,1.14621,0.04157,0.072135,0.003335,0.072164,0.002617
75,0.151197,0,0.7740,99.0727,10.4921,2.6230,9.663,0.001317,-0.000253,0.077665,0.972,8.691,1628011.6,1.13781,0.03627,0.071778,0.003507,0.071827,0.002289
75,0.151197,1,0.7740,99.0727,10.4921,2.6230,9.663,0.001317,-0.000253,0.077665,0.971,8.691,1628010.9,1.13782,0.03627,0.071779,0.003507,0.071828,0.002290
75,0.151197,2,0.7740,99.0727,10.4921,2.6230,9.663,0.001317,-0.000253,0.077665,0.971,8.691,1628011.8,1.13782,0.03627,0.071779,0.003507,0.071828,0.002290
75,0.151197,3,0.7740,99.0727,10.4921,2.6230,9.663,0.001317,-0.000253,0.077665,0.971,8.691,1628010.4,1.13782,0.03627,0.071779,0.003507,0.071828,0.002290
100,0.200933,0,0.7740,99.0727,10.4921,2.6230,9.663,0.000676,-0.000357,0.077760,0.498,9.165,1630009.6,1.14081,0.04352,0.072167,0.003382,0.072194,0.002754
100,0.200933,1,0.7740,99.0727,10.4921,2.6230,9.663,0.000676,-0.000357,0.077760,0.498,9.164,1630008.8,1.14081,0.04352,0.072167,0.003382,0.072194,0.002754
100,0.200933,2,0.7740,99.0727,10.4921,2.6230,9.663,0.000676,-0.000357,0.077760,0.498,9.164,1630009.4,1.14081,0.04352,0.072167,0.003382,0.072194,0.002754
100,0.200933,3,0.7740,99.0727,10.4921,2.6230,9.663,0.000676,-0.000357,0.077760,0.498,9.164,1630008.2,1.14081,0.04352,0.072167,0.003382,0.072194,0.002754
