step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.2908,37.2281,10.4902,2.6226,16.451,-0.001998,-0.000046,0.029199,-3.924,20.375,611953.1,1.10447,0.25754,0.009987,0.001618,0.009853,0.002298
25,0.051725,1,0.2908,37.2281,10.4902,2.6226,16.451,0.000854,-0.000046,0.029143,1.679,14.772,610777.4,1.35846,0.08121,0.012046,0.001075,0.012072,0.000722
25,0.051725,2,0.2908,37.2281,10.4902,2.6226,16.451,0.001555,-0.000045,0.029171,3.055,13.396,611381.4,1.44141,0.03789,0.012799,0.001021,0.012835,0.000337
25,0.051725,3,0.2908,37.2281,10.4902,2.6226,16.451,0.002556,-0.000048,0.029244,5.015,11.436,612904.8,1.34677,0.02520,0.011986,0.001278,0.012052,0.000226
50,0.101461,0,0.2908,37.2281,10.4902,2.6226,16.451,0.002474,-0.000118,0.029307,4.842,11.609,614216.7,1.36174,0.02570,0.012175,0.001263,0.012238,0.000231
50,0.101461,1,0.2908,37.2281,10.4902,2.6226,16.451,0.002266,-0.000118,0.029290,4.437,12.014,613864.0,1.39613,0.02689,0.012477,0.001210,0.012533,0.000241
50,0.101461,2,0.2908,37.2281,10.4902,2.6226,16.451,0.003741,-0.000124,0.029447,7.299,9.152,617151.2,1.13121,0.02014,0.010157,0.001485,0.010264,0.000183
50,0.101461,3,0.2908,37.2281,10.4902,2.6226,16.451,-0.000180,-0.000120,0.029205,-0.354,16.805,612084.5,1.26548,0.10961,0.011300,0.000908,0.011294,0.000978
75,0.151197,0,0.2908,37.2281,10.4902,2.6226,16.451,0.001181,-0.000195,0.029303,2.310,14.141,614137.4,1.39133,0.05489,0.012471,0.000997,0.012501,0.000493
75,0.151197,1,0.2908,37.2281,10.4902,2.6226,16.451,0.001463,-0.000195,0.029316,2.860,13.592,614407.6,1.42769,0.04147,0.012804,0.001013,0.012839,0.000373
