step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.2597,33.2381,10.4902,2.6226,16.889,0.004060,-0.000032,0.026314,8.876,8.013,551500.6,1.00754,0.01874,0.007192,0.001261,0.007300,0.000136
25,0.051725,1,0.2597,33.2381,10.4902,2.6226,16.889,0.004012,-0.000031,0.026306,8.772,8.117,551330.4,1.01833,0.01890,0.007267,0.001260,0.007374,0.000137
25,0.051725,2,0.2597,33.2381,10.4902,2.6226,16.889,0.003945,-0.000031,0.026296,8.627,8.262,551123.7,1.03327,0.01912,0.007371,0.001258,0.007476,0.000138
25,0.051725,3,0.2597,33.2381,10.4902,2.6226,16.889,0.003731,-0.000032,0.026265,8.167,8.722,550475.4,1.08087,0.01983,0.007703,0.001250,0.007803,0.000143
50,0.101461,0,0.2597,33.2381,10.4902,2.6226,16.889,0.003924,-0.000080,0.026341,8.568,8.321,552063.3,1.03951,0.01921,0.007442,0.001262,0.007547,0.000139
50,0.101461,1,0.2597,33.2381,10.4902,2.6226,16.889,0.003673,-0.000082,0.026307,8.027,8.863,551355.9,1.09555,0.02004,0.007836,0.001252,0.007934,0.000145
50,0.101461,2,0.2597,33.2381,10.4902,2.6226,16.889,0.003494,-0.000084,0.026284,7.639,9.250,550870.2,1.13445,0.02072,0.008108,0.001239,0.008201,0.000150
50,0.101461,3,0.2597,33.2381,10.4902,2.6226,16.889,0.007888,-0.000082,0.027217,16.846,0.043,570428.3,0.10937,0.01370,0.000781,0.000347,0.000848,0.000106
75,0.151197,0,0.2597,33.2381,10.4902,2.6226,16.889,0.005804,-0.000140,0.026744,12.534,4.355,560511.8,0.60523,0.01519,0.004397,0.001094,0.004530,0.000114
75,0.151197,1,0.2597,33.2381,10.4902,2.6226,16.889,0.005569,-0.000143,0.026698,12.039,4.850,559538.6,0.66118,0.01550,0.004799,0.001142,0.004931,0.000116
75,0.151197,2,0.2597,33.2381,10.4902,2.6226,16.889,0.005456,-0.000137,0.026669,11.806,5.084,558927.0,0.68749,0.01567,0.004984,0.001161,0.005116,0.000117
