step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.3220,41.2181,10.4902,2.6226,16.013,0.000434,-0.000046,0.032251,0.771,15.242,675919.6,1.34545,0.09327,0.014628,0.001212,0.014643,0.001015
25,0.051725,1,0.3220,41.2181,10.4902,2.6226,16.013,-0.000044,-0.000046,0.032247,-0.078,16.092,675848.3,1.30473,0.10166,0.014199,0.001087,0.014197,0.001106
25,0.051725,2,0.3220,41.2181,10.4902,2.6226,16.013,-0.000422,-0.000046,0.032250,-0.750,16.763,675907.8,1.27513,0.10933,0.013892,0.001008,0.013878,0.001190
25,0.051725,3,0.3220,41.2181,10.4902,2.6226,16.013,-0.001573,-0.000049,0.032289,-2.792,18.805,676723.3,1.15507,0.19037,0.012687,0.001461,0.012601,0.002077
50,0.101461,0,0.3220,41.2181,10.4902,2.6226,16.013,0.001006,-0.000120,0.032337,1.783,14.230,677726.7,1.39931,0.05825,0.015284,0.001114,0.015311,0.000637
50,0.101461,1,0.3220,41.2181,10.4902,2.6226,16.013,0.000591,-0.000117,0.032324,1.048,14.965,677445.9,1.36025,0.08925,0.014851,0.001247,0.014871,0.000976
50,0.101461,2,0.3220,41.2181,10.4902,2.6226,16.013,-0.002984,-0.000112,0.032451,-5.276,21.289,680125.2,1.08825,0.30027,0.012245,0.002192,0.011992,0.003309
50,0.101461,3,0.3220,41.2181,10.4902,2.6226,16.013,0.001612,-0.000111,0.032353,2.856,13.158,678055.7,1.46853,0.03337,0.016046,0.001166,0.016084,0.000365
75,0.151197,0,0.3220,41.2181,10.4902,2.6226,16.013,-0.000344,-0.000189,0.032393,-0.608,16.621,678896.2,1.28433,0.10732,0.014113,0.001029,0.014102,0.001178
75,0.151197,1,0.3220,41.2181,10.4902,2.6226,16.013,-0.000649,-0.000188,0.032396,-1.147,17.160,678969.6,1.25452,0.11741,0.013800,0.001013,0.013777,0.001289
75,0.151197,2,0.3220,41.2181,10.4902,2.6226,16.013,-0.000761,-0.000195,0.032406,-1.346,17.359,679164.1,1.23824,0.12455,0.013635,0.001049,0.013606,0.001369
75,0.151197,3,0.3220,41.2181,10.4902,2.6226,16.013,-0.000563,-0.000191,0.032398,-0.997,17.010,679004.1,1.26693,0.11200,0.013934,0.000988,0.013915,0.001230
100,0.200933,0,0.3220,41.2181,10.4902,2.6226,16.013,0.000103,-0.000265,0.032467,0.182,15.831,680457.3,1.32131,0.09832,0.014571,0.001131,0.014574,0.001084
100,0.200933,1,0.3220,41.2181,10.4902,2.6226,16.013,0.000116,-0.000269,0.032471,0.204,15.809,680535.7,1.32244,0.09809,0.014586,0.001134,0.014590,0.001082
100,0.200933,2,0.3220,41.2181,10.4902,2.6226,16.013,0.000119,-0.000271,0.032473,0.210,15.803,680582.2,1.32279,0.09802,0.014592,0.001135,0.014596,0.001082
100,0.200933,3,0.3220,41.2181,10.4902,2.6226,16.013,0.000095,-0.000267,0.032469,0.168,15.845,680489.0,1.32067,0.09845,0.014565,0.001129,0.014569,0.001086
125,0.250669,0,0.3220,41.2181,10.4902,2.6226,16.013,-0.000132,-0.000381,0.032583,-0.233,16.246,682890.6,1.30480,0.10246,0.014500,0.001079,0.014495,0.001138
125,0.250669,1,0.3220,41.2181,10.4902,2.6226,16.013,-0.000135,-0.000381,0.032583,-0.238,16.251,682882.1,1.30458,0.10251,0.014497,0.001079,0.014493,0.001139
125,0.250669,2,0.3220,41.2181,10.4902,2.6226,16.013,-0.000154,-0.000384,0.032586,-0.270,16.284,682937.4,1.30319,0.10288,0.014485,0.001075,0.014480,0.001143
125,0.250669,3,0.3220,41.2181,10.4902,2.6226,16.013,-0.000147,-0.000379,0.032581,-0.259,16.272,682840.9,1.30362,0.10276,0.014485,0.001076,0.014480,0.001141
150,0.300405,0,0.3220,41.2181,10.4902,2.6226,16.013,0.000098,-0.000587,0.032789,0.172,15.842,687196.8,1.32725,0.09745,0.014928,0.001141,0.014931,0.001096
150,0.300405,1,0.3220,41.2181,10.4902,2.6226,16.013,0.000062,-0.000573,0.032774,0.109,15.904,686890.4,1.32403,0.09811,0.014880,0.001131,0.014882,0.001103
150,0.300405,2,0.3220,41.2181,10.4902,2.6226,16.013,0.000087,-0.000579,0.032781,0.152,15.861,687033.9,1.32619,0.09766,0.014909,0.001138,0.014912,0.001098
150,0.300405,3,0.3220,41.2181,10.4902,2.6226,16.013,0.000063,-0.000577,0.032779,0.110,15.903,686981.2,1.32414,0.09809,0.014885,0.001131,0.014887,0.001103
175,0.350141,0,0.3220,41.2181,10.4902,2.6226,16.013,-0.000008,-0.000811,0.033012,-0.014,16.027,691878.8,1.32321,0.09865,0.015090,0.001121,0.015089,0.001125
175,0.350141,1,0.3220,41.2181,10.4902,2.6226,16.013,-0.000102,-0.000797,0.032998,-0.176,16.189,691590.6,1.31580,0.10060,0.014996,0.001100,0.014992,0.001146
175,0.350141,2,0.3220,41.2181,10.4902,2.6226,16.013,-0.000044,-0.000800,0.033002,-0.076,16.089,691654.5,1.32027,0.09941,0.015048,0.001113,0.015046,0.001133
175,0.350141,3,0.3220,41.2181,10.4902,2.6226,16.013,-0.000023,-0.000801,0.033003,-0.041,16.054,691685.9,1.32184,0.09900,0.015066,0.001118,0.015065,0.001128
200,0.399877,0,0.3220,41.2181,10.4902,2.6226,16.013,-0.000031,-0.001044,0.033246,-0.054,16.067,696771.3,1.32623,0.09843,0.015340,0.001124,0.015339,0.001138
200,0.399877,1,0.3220,41.2181,10.4902,2.6226,16.013,-0.000115,-0.001047,0.033248,-0.198,16.211,696828.0,1.31999,0.10012,0.015273,0.001105,0.015269,0.001158
200,0.399877,2,0.3220,41.2181,10.4902,2.6226,16.013,-0.000191,-0.001042,0.033244,-0.328,16.342,696734.1,1.31417,0.10168,0.015204,0.001089,0.015197,0.001176
200,0.399877,3,0.3220,41.2181,10.4902,2.6226,16.013,-0.000029,-0.001026,0.033228,-0.050,16.063,696401.1,1.32603,0.09844,0.015321,0.001124,0.015320,0.001137
225,0.449613,0,0.3220,41.2181,10.4902,2.6226,16.013,-0.000815,-0.001282,0.033493,-1.394,17.407,701959.9,1.24505,0.12531,0.014646,0.001115,0.014615,0.001471
225,0.449613,1,0.3220,41.2181,10.4902,2.6226,16.013,-0.000796,-0.001239,0.033450,-1.364,17.377,701051.4,1.24800,0.12412,0.014642,0.001105,0.014612,0.001453
225,0.449613,2,0.3220,41.2181,10.4902,2.6226,16.013,0.002069,-0.001246,0.033511,3.539,12.474,702338.7,1.44355,0.02854,0.016910,0.001382,0.016963,0.000335
225,0.449613,3,0.3220,41.2181,10.4902,2.6226,16.013,0.005934,-0.001249,0.033972,10.059,5.954,712002.1,0.79612,0.01573,0.009433,0.001866,0.009614,0.000190
250,0.499349,0,0.3220,41.2181,10.4902,2.6226,16.013,-0.001044,-0.001528,0.033746,-1.773,17.786,707262.8,1.20266,0.14086,0.014376,0.001234,0.014331,0.001679
250,0.499349,1,0.3220,41.2181,10.4902,2.6226,16.013,0.000124,-0.001532,0.033734,0.211,15.802,707000.9,1.34785,0.09423,0.016045,0.001181,0.016050,0.001122
250,0.499349,2,0.3220,41.2181,10.4902,2.6226,16.013,0.002762,-0.001524,0.033839,4.683,11.331,709203.1,1.35163,0.02465,0.016117,0.001616,0.016195,0.000295
