step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.3376,43.2131,10.4902,2.6226,15.794,0.005255,-0.000046,0.034212,8.835,6.959,717031.8,0.90881,0.01673,0.010967,0.001912,0.011131,0.000205
25,0.051725,1,0.3376,43.2131,10.4902,2.6226,15.794,0.000334,-0.000045,0.033807,0.567,15.227,708542.2,1.37460,0.08828,0.016428,0.001218,0.016440,0.001056
25,0.051725,2,0.3376,43.2131,10.4902,2.6226,15.794,-0.000669,-0.000046,0.033812,-1.134,16.928,708649.1,1.30031,0.10711,0.015578,0.000973,0.015556,0.001281
25,0.051725,3,0.3376,43.2131,10.4902,2.6226,15.794,-0.002054,-0.000048,0.033870,-3.477,19.271,709862.9,1.12521,0.21063,0.013636,0.001705,0.013507,0.002528
50,0.101461,0,0.3376,43.2131,10.4902,2.6226,15.794,-0.001993,-0.000117,0.033935,-3.367,19.161,711225.4,1.12770,0.20718,0.013712,0.001694,0.013589,0.002497
50,0.101461,1,0.3376,43.2131,10.4902,2.6226,15.794,-0.001170,-0.000115,0.033895,-1.978,17.772,710379.2,1.20435,0.14037,0.014528,0.001187,0.014478,0.001688
50,0.101461,2,0.3376,43.2131,10.4902,2.6226,15.794,-0.002187,-0.000117,0.033947,-3.694,19.488,711476.8,1.11839,0.21758,0.013627,0.001750,0.013486,0.002624
50,0.101461,3,0.3376,43.2131,10.4902,2.6226,15.794,0.000952,-0.000112,0.033885,1.610,14.184,710174.6,1.42196,0.05443,0.017059,0.001134,0.017084,0.000654
75,0.151197,0,0.3376,43.2131,10.4902,2.6226,15.794,-0.000578,-0.000186,0.033951,-0.975,16.770,711551.0,1.31010,0.10483,0.015821,0.000995,0.015802,0.001264
75,0.151197,1,0.3376,43.2131,10.4902,2.6226,15.794,-0.000863,-0.000186,0.033957,-1.457,17.251,711674.6,1.26902,0.11827,0.015343,0.001037,0.015311,0.001427
75,0.151197,2,0.3376,43.2131,10.4902,2.6226,15.794,-0.000978,-0.000192,0.033966,-1.650,17.444,711873.5,1.24520,0.12645,0.015070,0.001093,0.015032,0.001527
75,0.151197,3,0.3376,43.2131,10.4902,2.6226,15.794,-0.000785,-0.000188,0.033958,-1.324,17.118,711692.7,1.28555,0.11261,0.015539,0.001000,0.015512,0.001359
100,0.200933,0,0.3376,43.2131,10.4902,2.6226,15.794,0.000138,-0.000259,0.034020,0.233,15.561,712991.4,1.36400,0.09096,0.016514,0.001169,0.016518,0.001102
100,0.200933,1,0.3376,43.2131,10.4902,2.6226,15.794,0.000143,-0.000263,0.034023,0.241,15.553,713072.8,1.36441,0.09087,0.016522,0.001170,0.016527,0.001101
100,0.200933,2,0.3376,43.2131,10.4902,2.6226,15.794,0.000153,-0.000266,0.034026,0.258,15.536,713134.5,1.36522,0.09069,0.016535,0.001173,0.016540,0.001099
100,0.200933,3,0.3376,43.2131,10.4902,2.6226,15.794,0.000124,-0.000259,0.034019,0.210,15.585,712985.5,1.36298,0.09119,0.016502,0.001165,0.016506,0.001104
125,0.250669,0,0.3376,43.2131,10.4902,2.6226,15.794,-0.000092,-0.000376,0.034136,-0.155,15.949,715429.2,1.34954,0.09449,0.016458,0.001108,0.016455,0.001152
125,0.250669,1,0.3376,43.2131,10.4902,2.6226,15.794,-0.000101,-0.000374,0.034134,-0.170,15.964,715398.7,1.34884,0.09465,0.016449,0.001105,0.016445,0.001154
125,0.250669,2,0.3376,43.2131,10.4902,2.6226,15.794,-0.000104,-0.000380,0.034141,-0.175,15.969,715530.7,1.34876,0.09468,0.016454,0.001104,0.016450,0.001155
125,0.250669,3,0.3376,43.2131,10.4902,2.6226,15.794,-0.000104,-0.000372,0.034132,-0.174,15.968,715355.4,1.34864,0.09469,0.016444,0.001104,0.016441,0.001154
150,0.300405,0,0.3376,43.2131,10.4902,2.6226,15.794,0.000140,-0.000578,0.034338,0.233,15.561,719665.0,1.37012,0.08999,0.016900,0.001179,0.016905,0.001110
150,0.300405,1,0.3376,43.2131,10.4902,2.6226,15.794,0.000120,-0.000564,0.034325,0.201,15.593,719386.5,1.36849,0.09035,0.016867,0.001173,0.016871,0.001114
150,0.300405,2,0.3376,43.2131,10.4902,2.6226,15.794,0.000128,-0.000569,0.034330,0.214,15.580,719493.4,1.36916,0.09020,0.016880,0.001176,0.016885,0.001112
150,0.300405,3,0.3376,43.2131,10.4902,2.6226,15.794,0.000109,-0.000568,0.034328,0.181,15.613,719463.9,1.36773,0.09054,0.016862,0.001170,0.016866,0.001116
175,0.350141,0,0.3376,43.2131,10.4902,2.6226,15.794,0.000170,-0.000796,0.034556,0.281,15.513,724243.7,1.37632,0.08884,0.017192,0.001194,0.017198,0.001110
175,0.350141,1,0.3376,43.2131,10.4902,2.6226,15.794,0.000096,-0.000788,0.034548,0.159,15.635,724071.5,1.37105,0.09009,0.017121,0.001173,0.017124,0.001125
175,0.350141,2,0.3376,43.2131,10.4902,2.6226,15.794,0.000200,-0.000793,0.034554,0.331,15.463,724186.9,1.37836,0.08834,0.017214,0.001203,0.017221,0.001104
175,0.350141,3,0.3376,43.2131,10.4902,2.6226,15.794,0.000164,-0.000787,0.034548,0.272,15.522,724063.6,1.37578,0.08895,0.017177,0.001193,0.017182,0.001111
200,0.399877,0,0.3376,43.2131,10.4902,2.6226,15.794,0.000023,-0.001026,0.034786,0.038,15.756,729064.2,1.37067,0.09060,0.017355,0.001159,0.017356,0.001147
200,0.399877,1,0.3376,43.2131,10.4902,2.6226,15.794,-0.000032,-0.001028,0.034788,-0.052,15.846,729100.2,1.36700,0.09150,0.017312,0.001143,0.017311,0.001159
200,0.399877,2,0.3376,43.2131,10.4902,2.6226,15.794,-0.000057,-0.001019,0.034779,-0.095,15.889,728917.7,1.36506,0.09196,0.017280,0.001135,0.017278,0.001164
200,0.399877,3,0.3376,43.2131,10.4902,2.6226,15.794,0.000030,-0.001008,0.034768,0.049,15.745,728674.0,1.37077,0.09054,0.017338,0.001160,0.017339,0.001145
225,0.449613,0,0.3376,43.2131,10.4902,2.6226,15.794,-0.000984,-0.001255,0.035029,-1.610,17.404,734141.0,1.26070,0.12383,0.016225,0.001134,0.016187,0.001590
225,0.449613,1,0.3376,43.2131,10.4902,2.6226,15.794,-0.000373,-0.001225,0.034987,-0.610,16.405,733261.7,1.34729,0.09750,0.017269,0.001065,0.017257,0.001249
225,0.449613,2,0.3376,43.2131,10.4902,2.6226,15.794,0.001626,-0.001227,0.035025,2.661,13.133,734063.9,1.48177,0.03283,0.018981,0.001304,0.019021,0.000421
225,0.449613,3,0.3376,43.2131,10.4902,2.6226,15.794,0.000262,-0.001234,0.034995,0.429,15.365,733444.5,1.39072,0.08599,0.017813,0.001235,0.017822,0.001102
