step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.7272,93.0877,10.4897,2.6224,10.320,0.000252,-0.000062,0.072787,0.198,10.122,1525411.1,1.19263,0.04799,0.066103,0.002889,0.066113,0.002660
25,0.051725,1,0.7272,93.0877,10.4897,2.6224,10.320,0.000252,-0.000062,0.072787,0.198,10.122,1525412.4,1.19263,0.04799,0.066103,0.002889,0.066113,0.002660
25,0.051725,2,0.7272,93.0877,10.4897,2.6224,10.320,0.000252,-0.000062,0.072787,0.198,10.122,1525411.0,1.19263,0.04799,0.066103,0.002889,0.066113,0.002660
25,0.051725,3,0.7272,93.0877,10.4897,2.6224,10.320,0.000252,-0.000062,0.072787,0.198,10.122,1525411.7,1.19263,0.04799,0.066103,0.002889,0.066113,0.002660
50,0.101461,0,0.7272,93.0877,10.4897,2.6224,10.320,0.000332,-0.000143,0.072868,0.261,10.059,1527117.9,1.19096,0.04692,0.066155,0.002908,0.066168,0.002607
50,0.101461,1,0.7272,93.0877,10.4897,2.6224,10.320,0.000332,-0.000143,0.072868,0.261,10.059,1527117.0,1.19096,0.04692,0.066155,0.002908,0.066168,0.002607
50,0.101461,2,0.7272,93.0877,10.4897,2.6224,10.320,0.000332,-0.000143,0.072868,0.261,10.059,1527116.2,1.19096,0.04691,0.066155,0.002908,0.066168,0.002607
50,0.101461,3,0.7272,93.0877,10.4897,2.6224,10.320,0.000332,-0.000143,0.072868,0.261,10.058,1527117.3,1.19096,0.04691,0.066155,0.002908,0.066168,0.002606
75,0.151197,0,0.7272,93.0877,10.4897,2.6224,10.320,0.000376,-0.000231,0.072957,0.295,10.025,1528981.1,1.18954,0.04643,0.066236,0.002927,0.066250,0.002586
75,0.151197,1,0.7272,93.0877,10.4897,2.6224,10.320,0.000376,-0.000231,0.072957,0.295,10.025,1528981.7,1.18954,0.04643,0.066236,0.002927,0.066250,0.002586
75,0.151197,2,0.7272,93.0877,10.4897,2.6224,10.320,0.000376,-0.000231,0.072957,0.295,10.024,1528981.3,1.18954,0.04643,0.066236,0.002927,0.066250,0.002586
75,0.151197,3,0.7272,93.0877,10.4897,2.6224,10.320,0.000376,-0.000231,0.072957,0.295,10.024,1528981.0,1.18954,0.04643,0.066236,0.002927,0.066250,0.002586
100,0.200933,0,0.7272,93.0877,10.4897,2.6224,10.320,0.000552,-0.000326,0.073053,0.433,9.887,1530983.7,1.18670,0.04463,0.066245,0.002993,0.066265,0.002492
100,0.200933,1,0.7272,93.0877,10.4897,2.6224,10.320,0.000552,-0.000326,0.073053,0.433,9.887,1530983.6,1.18670,0.04463,0.066245,0.002993,0.066265,0.002492
