step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.3688,47.2030,10.4902,2.6226,15.356,-0.002161,-0.000043,0.036984,-3.349,18.706,775115.2,1.11977,0.18991,0.016158,0.001777,0.016027,0.002718
25,0.051725,1,0.3688,47.2030,10.4902,2.6226,15.356,0.000105,-0.000043,0.036920,0.163,15.193,773782.9,1.43269,0.07824,0.020432,0.001174,0.020435,0.001116
25,0.051725,2,0.3688,47.2030,10.4902,2.6226,15.356,0.000686,-0.000042,0.036926,1.065,14.291,773908.9,1.45877,0.05408,0.020796,0.001158,0.020814,0.000772
25,0.051725,3,0.3688,47.2030,10.4902,2.6226,15.356,0.001964,-0.000044,0.036973,3.044,12.312,774894.3,1.44232,0.02805,0.020581,0.001496,0.020632,0.000401
50,0.101461,0,0.3688,47.2030,10.4902,2.6226,15.356,0.000312,-0.000107,0.036985,0.483,14.873,775150.5,1.44405,0.07206,0.020660,0.001206,0.020670,0.001031
50,0.101461,1,0.3688,47.2030,10.4902,2.6226,15.356,0.000067,-0.000106,0.036984,0.104,15.253,775113.0,1.43175,0.07867,0.020490,0.001163,0.020492,0.001126
50,0.101461,2,0.3688,47.2030,10.4902,2.6226,15.356,0.001505,-0.000121,0.037029,2.330,13.026,776054.1,1.49321,0.03126,0.021388,0.001319,0.021423,0.000448
50,0.101461,3,0.3688,47.2030,10.4902,2.6226,15.356,0.000135,-0.000114,0.036992,0.210,15.147,775281.7,1.43562,0.07753,0.020552,0.001185,0.020556,0.001110
75,0.151197,0,0.3688,47.2030,10.4902,2.6226,15.356,0.000743,-0.000175,0.037060,1.148,14.208,776707.0,1.46278,0.05132,0.021003,0.001159,0.021022,0.000738
75,0.151197,1,0.3688,47.2030,10.4902,2.6226,15.356,0.000969,-0.000176,0.037066,1.498,13.858,776832.0,1.47197,0.04290,0.021138,0.001170,0.021161,0.000617
75,0.151197,2,0.3688,47.2030,10.4902,2.6226,15.356,0.001033,-0.000177,0.037069,1.598,13.759,776906.8,1.47455,0.04151,0.021177,0.001188,0.021202,0.000597
