step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.6337,81.1178,10.4902,2.6225,11.634,0.000403,-0.000043,0.063418,0.364,11.269,1329114.2,1.38456,0.03422,0.058257,0.001811,0.058267,0.001440
25,0.051725,1,0.6337,81.1178,10.4902,2.6225,11.634,0.000403,-0.000043,0.063418,0.364,11.269,1329115.6,1.38456,0.03422,0.058257,0.001811,0.058267,0.001440
25,0.051725,2,0.6337,81.1178,10.4902,2.6225,11.634,0.000403,-0.000043,0.063418,0.364,11.269,1329114.1,1.38456,0.03422,0.058257,0.001811,0.058267,0.001440
25,0.051725,3,0.6337,81.1178,10.4902,2.6225,11.634,0.000403,-0.000043,0.063418,0.364,11.269,1329116.0,1.38456,0.03422,0.058257,0.001811,0.058267,0.001440
50,0.101461,0,0.6337,81.1178,10.4902,2.6225,11.634,0.000553,-0.000107,0.063483,0.499,11.134,1330487.7,1.37489,0.03343,0.057965,0.001915,0.057980,0.001410
50,0.101461,1,0.6337,81.1178,10.4902,2.6225,11.634,0.000553,-0.000107,0.063483,0.499,11.134,1330488.2,1.37489,0.03343,0.057965,0.001915,0.057980,0.001410
50,0.101461,2,0.6337,81.1178,10.4902,2.6225,11.634,0.000553,-0.000107,0.063483,0.499,11.135,1330488.5,1.37490,0.03343,0.057966,0.001915,0.057980,0.001410
50,0.101461,3,0.6337,81.1178,10.4902,2.6225,11.634,0.000553,-0.000107,0.063483,0.499,11.134,1330489.4,1.37488,0.03343,0.057965,0.001915,0.057979,0.001410
75,0.151197,0,0.6337,81.1178,10.4902,2.6225,11.634,0.000667,-0.000181,0.063558,0.601,11.032,1332053.5,1.36706,0.03291,0.057768,0.001997,0.057785,0.001391
75,0.151197,1,0.6337,81.1178,10.4902,2.6225,11.634,0.000667,-0.000181,0.063558,0.601,11.032,1332055.7,1.36705,0.03291,0.057767,0.001997,0.057785,0.001391
75,0.151197,2,0.6337,81.1178,10.4902,2.6225,11.634,0.000667,-0.000181,0.063558,0.601,11.032,1332054.1,1.36705,0.03291,0.057767,0.001997,0.057785,0.001391
75,0.151197,3,0.6337,81.1178,10.4902,2.6225,11.634,0.000667,-0.000181,0.063558,0.601,11.032,1332055.8,1.36705,0.03291,0.057767,0.001997,0.057785,0.001391
100,0.200933,0,0.6337,81.1178,10.4902,2.6225,11.634,0.000602,-0.000260,0.063637,0.542,11.091,1333706.6,1.36869,0.03367,0.057982,0.001976,0.057998,0.001427
100,0.200933,1,0.6337,81.1178,10.4902,2.6225,11.634,0.000603,-0.000261,0.063637,0.542,11.091,1333709.5,1.36868,0.03367,0.057981,0.001976,0.057998,0.001427
100,0.200933,2,0.6337,81.1178,10.4902,2.6225,11.634,0.000603,-0.000261,0.063637,0.543,11.091,1333706.7,1.36868,0.03367,0.057981,0.001976,0.057997,0.001427
100,0.200933,3,0.6337,81.1178,10.4902,2.6225,11.634,0.000602,-0.000261,0.063637,0.542,11.091,1333708.4,1.36868,0.03367,0.057982,0.001976,0.057998,0.001427
125,0.250669,0,0.6337,81.1178,10.4902,2.6225,11.634,0.000483,-0.000362,0.063738,0.434,11.200,1335821.6,1.37264,0.03494,0.058337,0.001927,0.058350,0.001485
125,0.250669,1,0.6337,81.1178,10.4902,2.6225,11.634,0.000483,-0.000363,0.063738,0.434,11.200,1335832.2,1.37263,0.03494,0.058338,0.001927,0.058350,0.001485
125,0.250669,2,0.6337,81.1178,10.4902,2.6225,11.634,0.000483,-0.000363,0.063738,0.434,11.199,1335824.1,1.37262,0.03493,0.058336,0.001927,0.058349,0.001485
125,0.250669,3,0.6337,81.1178,10.4902,2.6225,11.634,0.000482,-0.000363,0.063738,0.434,11.200,1335831.7,1.37265,0.03494,0.058338,0.001927,0.058351,0.001485
150,0.300405,0,0.6337,81.1178,10.4902,2.6225,11.634,0.000959,-0.000568,0.063949,0.860,10.774,1340245.0,1.33876,0.03252,0.057260,0.002251,0.057287,0.001391
150,0.300405,1,0.6337,81.1178,10.4902,2.6225,11.634,0.000958,-0.000568,0.063948,0.859,10.775,1340236.2,1.33883,0.03252,0.057262,0.002250,0.057289,0.001392
150,0.300405,2,0.6337,81.1178,10.4902,2.6225,11.634,0.000959,-0.000568,0.063949,0.860,10.774,1340243.6,1.33876,0.03252,0.057260,0.002251,0.057287,0.001391
150,0.300405,3,0.6337,81.1178,10.4902,2.6225,11.634,0.000958,-0.000568,0.063948,0.859,10.775,1340235.6,1.33884,0.03252,0.057262,0.002250,0.057290,0.001392
175,0.350141,0,0.6337,81.1178,10.4902,2.6225,11.634,0.001251,-0.000812,0.064198,1.116,10.517,1345464.0,1.31419,0.03147,0.056638,0.002461,0.056675,0.001357
175,0.350141,1,0.6337,81.1178,10.4902,2.6225,11.634,0.001251,-0.000811,0.064197,1.116,10.517,1345443.2,1.31422,0.03147,0.056637,0.002461,0.056674,0.001357
175,0.350141,2,0.6337,81.1178,10.4902,2.6225,11.634,0.001251,-0.000812,0.064198,1.117,10.517,1345462.1,1.31417,0.03147,0.056636,0.002461,0.056673,0.001357
175,0.350141,3,0.6337,81.1178,10.4902,2.6225,11.634,0.001251,-0.000811,0.064197,1.116,10.517,1345441.9,1.31422,0.03147,0.056637,0.002461,0.056674,0.001357
200,0.399877,0,0.6337,81.1178,10.4902,2.6225,11.634,0.001499,-0.001080,0.064470,1.332,10.301,1351179.8,1.29316,0.03063,0.056196,0.002639,0.056243,0.001332
200,0.399877,1,0.6337,81.1178,10.4902,2.6225,11.634,0.001500,-0.001078,0.064469,1.333,10.301,1351150.7,1.29313,0.03062,0.056193,0.002640,0.056239,0.001332
200,0.399877,2,0.6337,81.1178,10.4902,2.6225,11.634,0.001499,-0.001079,0.064470,1.332,10.302,1351176.7,1.29317,0.03063,0.056197,0.002639,0.056243,0.001332
200,0.399877,3,0.6337,81.1178,10.4902,2.6225,11.634,0.001499,-0.001078,0.064469,1.333,10.301,1351148.9,1.29315,0.03062,0.056193,0.002639,0.056240,0.001332
225,0.449613,0,0.6337,81.1178,10.4902,2.6225,11.634,0.001709,-0.001351,0.064747,1.512,10.121,1356980.5,1.27547,0.02993,0.055896,0.002789,0.055950,0.001313
225,0.449613,1,0.6337,81.1178,10.4902,2.6225,11.634,0.001710,-0.001350,0.064746,1.513,10.120,1356956.3,1.27540,0.02992,0.055891,0.002789,0.055946,0.001312
225,0.449613,2,0.6337,81.1178,10.4902,2.6225,11.634,0.001709,-0.001351,0.064747,1.512,10.121,1356975.0,1.27548,0.02993,0.055896,0.002789,0.055951,0.001313
225,0.449613,3,0.6337,81.1178,10.4902,2.6225,11.634,0.001708,-0.001350,0.064746,1.512,10.122,1356953.3,1.27553,0.02993,0.055897,0.002788,0.055951,0.001313
250,0.499349,0,0.6337,81.1178,10.4902,2.6225,11.634,0.001783,-0.001562,0.064960,1.573,10.061,1361444.2,1.26777,0.02995,0.055922,0.002858,0.055979,0.001322
250,0.499349,1,0.6337,81.1178,10.4902,2.6225,11.634,0.001784,-0.001562,0.064960,1.574,10.059,1361447.9,1.26768,0.02994,0.055918,0.002859,0.055975,0.001322
250,0.499349,2,0.6337,81.1178,10.4902,2.6225,11.634,0.001782,-0.001562,0.064960,1.572,10.061,1361437.8,1.26781,0.02995,0.055923,0.002858,0.055980,0.001323
250,0.499349,3,0.6337,81.1178,10.4902,2.6225,11.634,0.001783,-0.001563,0.064961,1.573,10.060,1361453.0,1.26773,0.02995,0.055921,0.002859,0.055978,0.001322
