step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.4623,59.1730,10.4902,2.6226,14.042,0.000415,-0.000032,0.046263,0.513,13.529,969587.5,1.55123,0.03497,0.034732,0.001095,0.034740,0.000783
25,0.051725,1,0.4623,59.1730,10.4902,2.6226,14.042,0.000375,-0.000032,0.046263,0.464,13.578,969583.4,1.55392,0.03528,0.034793,0.001072,0.034800,0.000790
25,0.051725,2,0.4623,59.1730,10.4902,2.6226,14.042,0.000373,-0.000032,0.046262,0.462,13.580,969580.4,1.55401,0.03529,0.034795,0.001071,0.034802,0.000790
25,0.051725,3,0.4623,59.1730,10.4902,2.6226,14.042,0.000375,-0.000032,0.046263,0.465,13.578,969585.7,1.55388,0.03528,0.034792,0.001072,0.034800,0.000790
50,0.101461,0,0.4623,59.1730,10.4902,2.6226,14.042,0.000482,-0.000085,0.046316,0.596,13.446,970708.0,1.54651,0.03450,0.034705,0.001136,0.034715,0.000774
50,0.101461,1,0.4623,59.1730,10.4902,2.6226,14.042,0.000483,-0.000085,0.046316,0.598,13.444,970712.0,1.54642,0.03449,0.034703,0.001136,0.034713,0.000774
50,0.101461,2,0.4623,59.1730,10.4902,2.6226,14.042,0.000489,-0.000085,0.046316,0.605,13.437,970704.2,1.54603,0.03444,0.034694,0.001140,0.034704,0.000773
50,0.101461,3,0.4623,59.1730,10.4902,2.6226,14.042,0.000487,-0.000085,0.046316,0.602,13.440,970709.9,1.54621,0.03446,0.034698,0.001138,0.034708,0.000774
75,0.151197,0,0.4623,59.1730,10.4902,2.6226,14.042,0.000541,-0.000145,0.046377,0.668,13.374,971987.4,1.54242,0.03410,0.034703,0.001172,0.034714,0.000767
75,0.151197,1,0.4623,59.1730,10.4902,2.6226,14.042,0.000541,-0.000146,0.046378,0.669,13.373,971994.5,1.54237,0.03409,0.034702,0.001172,0.034714,0.000767
75,0.151197,2,0.4623,59.1730,10.4902,2.6226,14.042,0.000542,-0.000145,0.046377,0.669,13.373,971991.1,1.54235,0.03409,0.034702,0.001173,0.034713,0.000767
75,0.151197,3,0.4623,59.1730,10.4902,2.6226,14.042,0.000541,-0.000146,0.046378,0.669,13.373,971995.3,1.54237,0.03409,0.034702,0.001172,0.034714,0.000767
100,0.200933,0,0.4623,59.1730,10.4902,2.6226,14.042,0.000479,-0.000208,0.046439,0.592,13.451,973285.2,1.54629,0.03463,0.034885,0.001142,0.034894,0.000781
