step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.3844,49.1980,10.4902,2.6226,15.137,-0.002888,-0.000040,0.038585,-4.293,19.430,808666.2,1.07752,0.21890,0.016994,0.002144,0.016786,0.003410
25,0.051725,1,0.3844,49.1980,10.4902,2.6226,15.137,0.000168,-0.000040,0.038476,0.251,14.887,806396.2,1.46904,0.06818,0.022752,0.001156,0.022757,0.001056
25,0.051725,2,0.3844,49.1980,10.4902,2.6226,15.137,0.000377,-0.000040,0.038478,0.561,14.576,806423.7,1.47474,0.05964,0.022837,0.001148,0.022847,0.000924
25,0.051725,3,0.3844,49.1980,10.4902,2.6226,15.137,0.000604,-0.000041,0.038482,0.899,14.239,806516.5,1.48098,0.05034,0.022934,0.001140,0.022949,0.000780
50,0.101461,0,0.3844,49.1980,10.4902,2.6226,15.137,0.002264,-0.000100,0.038603,3.362,11.775,809048.8,1.40482,0.02607,0.021844,0.001691,0.021906,0.000407
50,0.101461,1,0.3844,49.1980,10.4902,2.6226,15.137,0.001454,-0.000100,0.038563,2.161,12.976,808221.9,1.49693,0.03091,0.023259,0.001359,0.023294,0.000481
50,0.101461,2,0.3844,49.1980,10.4902,2.6226,15.137,0.003027,-0.000111,0.038665,4.491,10.647,810356.1,1.30393,0.02271,0.020308,0.001951,0.020398,0.000355
50,0.101461,3,0.3844,49.1980,10.4902,2.6226,15.137,0.000114,-0.000108,0.038544,0.169,14.968,807814.5,1.46873,0.07021,0.022829,0.001159,0.022832,0.001091
75,0.151197,0,0.3844,49.1980,10.4902,2.6226,15.137,0.000628,-0.000167,0.038608,0.931,14.206,809148.1,1.48324,0.04929,0.023118,0.001145,0.023134,0.000769
75,0.151197,1,0.3844,49.1980,10.4902,2.6226,15.137,0.000752,-0.000167,0.038610,1.116,14.021,809199.3,1.48651,0.04426,0.023170,0.001142,0.023188,0.000690
75,0.151197,2,0.3844,49.1980,10.4902,2.6226,15.137,0.000789,-0.000167,0.038612,1.171,13.966,809230.1,1.48731,0.04325,0.023184,0.001149,0.023202,0.000675
75,0.151197,3,0.3844,49.1980,10.4902,2.6226,15.137,0.000712,-0.000167,0.038610,1.057,14.080,809191.7,1.48547,0.04587,0.023154,0.001143,0.023171,0.000716
100,0.200933,0,0.3844,49.1980,10.4902,2.6226,15.137,0.000313,-0.000233,0.038670,0.463,14.674,810457.3,1.47600,0.06187,0.023087,0.001155,0.023096,0.000968
100,0.200933,1,0.3844,49.1980,10.4902,2.6226,15.137,0.000307,-0.000235,0.038672,0.455,14.682,810499.3,1.47589,0.06209,0.023088,0.001155,0.023096,0.000972
100,0.200933,2,0.3844,49.1980,10.4902,2.6226,15.137,0.000314,-0.000233,0.038671,0.465,14.672,810468.3,1.47604,0.06182,0.023088,0.001155,0.023097,0.000967
100,0.200933,3,0.3844,49.1980,10.4902,2.6226,15.137,0.000301,-0.000235,0.038672,0.446,14.691,810508.1,1.47574,0.06233,0.023086,0.001155,0.023095,0.000975
125,0.250669,0,0.3844,49.1980,10.4902,2.6226,15.137,0.000093,-0.000338,0.038774,0.137,15.000,812641.5,1.47222,0.07036,0.023158,0.001162,0.023161,0.001107
125,0.250669,1,0.3844,49.1980,10.4902,2.6226,15.137,0.000093,-0.000340,0.038776,0.137,15.000,812686.5,1.47225,0.07036,0.023161,0.001162,0.023164,0.001107
125,0.250669,2,0.3844,49.1980,10.4902,2.6226,15.137,0.000114,-0.000338,0.038774,0.169,14.969,812632.1,1.47273,0.06952,0.023165,0.001162,0.023168,0.001094
