step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.7117,91.0927,10.4900,2.6225,10.539,0.000255,-0.000060,0.071227,0.205,10.334,1492754.6,1.21787,0.04799,0.064641,0.002779,0.064650,0.002547
25,0.051725,1,0.7117,91.0927,10.4900,2.6225,10.539,0.000255,-0.000060,0.071227,0.205,10.334,1492755.5,1.21787,0.04799,0.064641,0.002779,0.064650,0.002548
25,0.051725,2,0.7117,91.0927,10.4900,2.6225,10.539,0.000255,-0.000060,0.071227,0.205,10.334,1492754.6,1.21787,0.04799,0.064641,0.002779,0.064650,0.002547
25,0.051725,3,0.7117,91.0927,10.4900,2.6225,10.539,0.000255,-0.000060,0.071227,0.205,10.334,1492755.3,1.21787,0.04799,0.064641,0.002779,0.064650,0.002547
50,0.101461,0,0.7117,91.0927,10.4900,2.6225,10.539,0.000338,-0.000139,0.071306,0.272,10.267,1494425.5,1.21520,0.04701,0.064640,0.002808,0.064653,0.002501
50,0.101461,1,0.7117,91.0927,10.4900,2.6225,10.539,0.000338,-0.000139,0.071306,0.272,10.267,1494424.7,1.21520,0.04701,0.064640,0.002808,0.064653,0.002501
50,0.101461,2,0.7117,91.0927,10.4900,2.6225,10.539,0.000338,-0.000139,0.071306,0.272,10.267,1494424.0,1.21520,0.04701,0.064640,0.002808,0.064653,0.002501
50,0.101461,3,0.7117,91.0927,10.4900,2.6225,10.539,0.000338,-0.000139,0.071306,0.272,10.267,1494425.3,1.21520,0.04701,0.064640,0.002808,0.064653,0.002501
75,0.151197,0,0.7117,91.0927,10.4900,2.6225,10.539,0.000381,-0.000226,0.071393,0.306,10.233,1496250.3,1.21322,0.04663,0.064691,0.002832,0.064706,0.002487
75,0.151197,1,0.7117,91.0927,10.4900,2.6225,10.539,0.000381,-0.000226,0.071393,0.306,10.233,1496250.8,1.21322,0.04663,0.064691,0.002832,0.064706,0.002487
75,0.151197,2,0.7117,91.0927,10.4900,2.6225,10.539,0.000381,-0.000226,0.071393,0.306,10.233,1496250.2,1.21322,0.04663,0.064691,0.002832,0.064706,0.002487
75,0.151197,3,0.7117,91.0927,10.4900,2.6225,10.539,0.000381,-0.000226,0.071393,0.306,10.233,1496250.4,1.21322,0.04663,0.064691,0.002832,0.064706,0.002487
100,0.200933,0,0.7117,91.0927,10.4900,2.6225,10.539,0.000532,-0.000318,0.071487,0.427,10.112,1498205.2,1.20939,0.04468,0.064650,0.002870,0.064670,0.002389
100,0.200933,1,0.7117,91.0927,10.4900,2.6225,10.539,0.000532,-0.000318,0.071487,0.427,10.112,1498205.2,1.20939,0.04468,0.064650,0.002870,0.064670,0.002389
100,0.200933,2,0.7117,91.0927,10.4900,2.6225,10.539,0.000532,-0.000318,0.071487,0.427,10.112,1498204.3,1.20939,0.04467,0.064650,0.002870,0.064670,0.002389
100,0.200933,3,0.7117,91.0927,10.4900,2.6225,10.539,0.000532,-0.000318,0.071487,0.427,10.112,1498205.1,1.20939,0.04468,0.064650,0.002870,0.064670,0.002389
125,0.250669,0,0.7117,91.0927,10.4900,2.6225,10.539,0.000406,-0.000440,0.071608,0.325,10.214,1500739.1,1.20985,0.04683,0.064898,0.002881,0.064914,0.002513
125,0.250669,1,0.7117,91.0927,10.4900,2.6225,10.539,0.000406,-0.000440,0.071608,0.325,10.214,1500745.0,1.20985,0.04684,0.064899,0.002881,0.064914,0.002513
125,0.250669,2,0.7117,91.0927,10.4900,2.6225,10.539,0.000406,-0.000440,0.071608,0.325,10.214,1500739.8,1.20985,0.04683,0.064898,0.002881,0.064913,0.002513
125,0.250669,3,0.7117,91.0927,10.4900,2.6225,10.539,0.000406,-0.000440,0.071608,0.325,10.214,1500745.1,1.20985,0.04684,0.064899,0.002881,0.064914,0.002513
150,0.300405,0,0.7117,91.0927,10.4900,2.6225,10.539,0.000883,-0.000680,0.071852,0.704,9.834,1505855.8,1.19882,0.04144,0.064729,0.003034,0.064761,0.002238
150,0.300405,1,0.7117,91.0927,10.4900,2.6225,10.539,0.000884,-0.000680,0.071852,0.705,9.834,1505861.8,1.19881,0.04143,0.064728,0.003035,0.064761,0.002238
150,0.300405,2,0.7117,91.0927,10.4900,2.6225,10.539,0.000883,-0.000680,0.071852,0.704,9.834,1505856.9,1.19882,0.04143,0.064729,0.003034,0.064761,0.002238
150,0.300405,3,0.7117,91.0927,10.4900,2.6225,10.539,0.000884,-0.000680,0.071852,0.705,9.834,1505861.0,1.19881,0.04143,0.064729,0.003035,0.064761,0.002238
175,0.350141,0,0.7117,91.0927,10.4900,2.6225,10.539,0.001203,-0.000958,0.072134,0.956,9.583,1511768.5,1.19061,0.03888,0.064779,0.003198,0.064823,0.002117
175,0.350141,1,0.7117,91.0927,10.4900,2.6225,10.539,0.001202,-0.000956,0.072133,0.955,9.584,1511744.2,1.19063,0.03889,0.064779,0.003197,0.064823,0.002117
175,0.350141,2,0.7117,91.0927,10.4900,2.6225,10.539,0.001203,-0.000958,0.072134,0.956,9.583,1511767.7,1.19060,0.03888,0.064779,0.003198,0.064823,0.002117
175,0.350141,3,0.7117,91.0927,10.4900,2.6225,10.539,0.001202,-0.000956,0.072133,0.954,9.584,1511744.4,1.19064,0.03889,0.064779,0.003197,0.064823,0.002118
200,0.399877,0,0.7117,91.0927,10.4900,2.6225,10.539,0.001508,-0.001254,0.072436,1.193,9.346,1518108.5,1.18370,0.03640,0.064934,0.003351,0.064989,0.001999
200,0.399877,1,0.7117,91.0927,10.4900,2.6225,10.539,0.001509,-0.001253,0.072435,1.193,9.345,1518087.5,1.18370,0.03640,0.064932,0.003351,0.064987,0.001998
200,0.399877,2,0.7117,91.0927,10.4900,2.6225,10.539,0.001508,-0.001254,0.072436,1.193,9.346,1518104.9,1.18370,0.03640,0.064933,0.003351,0.064989,0.001999
200,0.399877,3,0.7117,91.0927,10.4900,2.6225,10.539,0.001508,-0.001253,0.072435,1.193,9.346,1518087.2,1.18371,0.03640,0.064932,0.003351,0.064988,0.001998
225,0.449613,0,0.7117,91.0927,10.4900,2.6225,10.539,0.001794,-0.001556,0.072744,1.413,9.125,1524559.5,1.17824,0.03401,0.065174,0.003492,0.065241,0.001883
225,0.449613,1,0.7117,91.0927,10.4900,2.6225,10.539,0.001795,-0.001555,0.072744,1.414,9.125,1524547.1,1.17824,0.03401,0.065173,0.003492,0.065239,0.001883
225,0.449613,2,0.7117,91.0927,10.4900,2.6225,10.539,0.001794,-0.001556,0.072744,1.413,9.125,1524555.7,1.17825,0.03402,0.065174,0.003492,0.065240,0.001883
225,0.449613,3,0.7117,91.0927,10.4900,2.6225,10.539,0.001794,-0.001555,0.072744,1.413,9.126,1524549.2,1.17826,0.03402,0.065174,0.003492,0.065240,0.001884
250,0.499349,0,0.7117,91.0927,10.4900,2.6225,10.539,0.001927,-0.001822,0.073014,1.512,9.027,1530208.6,1.17566,0.03308,0.065509,0.003575,0.065581,0.001845
250,0.499349,1,0.7117,91.0927,10.4900,2.6225,10.539,0.001927,-0.001821,0.073013,1.512,9.026,1530192.3,1.17566,0.03307,0.065508,0.003575,0.065579,0.001845
250,0.499349,2,0.7117,91.0927,10.4900,2.6225,10.539,0.001928,-0.001822,0.073014,1.513,9.026,1530207.0,1.17565,0.03306,0.065508,0.003575,0.065580,0.001844
250,0.499349,3,0.7117,91.0927,10.4900,2.6225,10.539,0.001927,-0.001821,0.073013,1.512,9.027,1530196.3,1.17566,0.03307,0.065508,0.003575,0.065580,0.001845
275,0.549085,0,0.7117,91.0927,10.4900,2.6225,10.539,0.002611,-0.001949,0.073162,2.045,8.494,1533317.2,1.14897,0.02776,0.064256,0.003850,0.064353,0.001555
275,0.549085,1,0.7117,91.0927,10.4900,2.6225,10.539,0.002610,-0.001948,0.073161,2.044,8.494,1533300.8,1.14901,0.02777,0.064257,0.003850,0.064353,0.001555
275,0.549085,2,0.7117,91.0927,10.4900,2.6225,10.539,0.002610,-0.001949,0.073162,2.044,8.494,1533316.0,1.14900,0.02777,0.064257,0.003850,0.064354,0.001555
275,0.549085,3,0.7117,91.0927,10.4900,2.6225,10.539,0.002609,-0.001949,0.073162,2.043,8.495,1533308.7,1.14905,0.02778,0.064260,0.003850,0.064356,0.001556
300,0.598820,0,0.7117,91.0927,10.4900,2.6225,10.539,0.003211,-0.002038,0.073274,2.512,8.027,1535673.7,1.12539,0.02308,0.063108,0.004066,0.063226,0.001297
300,0.598820,1,0.7117,91.0927,10.4900,2.6225,10.539,0.003212,-0.002038,0.073274,2.513,8.026,1535672.8,1.12535,0.02308,0.063106,0.004067,0.063223,0.001296
300,0.598820,2,0.7117,91.0927,10.4900,2.6225,10.539,0.003210,-0.002038,0.073275,2.511,8.028,1535678.8,1.12542,0.02309,0.063111,0.004066,0.063228,0.001297
300,0.598820,3,0.7117,91.0927,10.4900,2.6225,10.539,0.003212,-0.002038,0.073275,2.512,8.027,1535681.6,1.12537,0.02308,0.063108,0.004067,0.063226,0.001297
325,0.648556,0,0.7117,91.0927,10.4900,2.6225,10.539,0.003606,-0.002055,0.073310,2.819,7.719,1536418.5,1.09809,0.02106,0.061619,0.004220,0.061752,0.001184
325,0.648556,1,0.7117,91.0927,10.4900,2.6225,10.539,0.003604,-0.002058,0.073313,2.818,7.721,1536471.6,1.09825,0.02107,0.061632,0.004220,0.061765,0.001185
325,0.648556,2,0.7117,91.0927,10.4900,2.6225,10.539,0.003605,-0.002056,0.073311,2.819,7.720,1536429.4,1.09816,0.02106,0.061624,0.004220,0.061757,0.001185
325,0.648556,3,0.7117,91.0927,10.4900,2.6225,10.539,0.003604,-0.002058,0.073313,2.818,7.721,1536483.8,1.09826,0.02107,0.061634,0.004220,0.061767,0.001185
350,0.698292,0,0.7117,91.0927,10.4900,2.6225,10.539,0.004049,-0.002085,0.073363,3.164,7.375,1537539.2,1.06633,0.01890,0.059903,0.004378,0.060053,0.001065
350,0.698292,1,0.7117,91.0927,10.4900,2.6225,10.539,0.004049,-0.002087,0.073365,3.164,7.375,1537580.2,1.06636,0.01891,0.059908,0.004378,0.060058,0.001065
350,0.698292,2,0.7117,91.0927,10.4900,2.6225,10.539,0.004048,-0.002086,0.073364,3.163,7.376,1537551.3,1.06643,0.01891,0.059910,0.004377,0.060060,0.001065
350,0.698292,3,0.7117,91.0927,10.4900,2.6225,10.539,0.004049,-0.002088,0.073366,3.164,7.375,1537588.7,1.06636,0.01891,0.059909,0.004378,0.060059,0.001065
375,0.748028,0,0.7117,91.0927,10.4900,2.6225,10.539,0.004450,-0.002051,0.073352,3.478,7.061,1537302.8,1.03722,0.01692,0.058231,0.004493,0.058396,0.000953
375,0.748028,1,0.7117,91.0927,10.4900,2.6225,10.539,0.004450,-0.002053,0.073354,3.478,7.061,1537347.0,1.03726,0.01692,0.058236,0.004494,0.058402,0.000953
375,0.748028,2,0.7117,91.0927,10.4900,2.6225,10.539,0.004449,-0.002051,0.073353,3.477,7.062,1537313.8,1.03733,0.01693,0.058238,0.004493,0.058403,0.000953
