step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.9610,123.0125,9.7165,2.4291,7.035,0.000873,-0.000099,0.096207,0.520,6.515,1867607.3,0.86524,0.05141,0.077573,0.005316,0.077618,0.004611
25,0.051725,1,0.9610,123.0125,9.7165,2.4291,7.035,0.000874,-0.000099,0.096207,0.520,6.515,1867608.1,0.86524,0.05140,0.077574,0.005316,0.077619,0.004611
25,0.051725,2,0.9610,123.0125,9.7165,2.4291,7.035,0.000873,-0.000099,0.096207,0.520,6.515,1867607.0,0.86524,0.05141,0.077573,0.005316,0.077618,0.004611
25,0.051725,3,0.9610,123.0125,9.7165,2.4291,7.035,0.000874,-0.000099,0.096207,0.520,6.515,1867606.1,0.86524,0.05140,0.077573,0.005316,0.077619,0.004611
50,0.101461,0,0.9610,123.0125,9.7165,2.4291,7.035,0.001928,-0.000216,0.096339,1.147,5.888,1870176.5,0.86425,0.04098,0.077654,0.005241,0.077744,0.003686
50,0.101461,1,0.9610,123.0125,9.7165,2.4291,7.035,0.001928,-0.000216,0.096339,1.147,5.888,1870176.3,0.86425,0.04098,0.077654,0.005241,0.077744,0.003686
50,0.101461,2,0.9610,123.0125,9.7165,2.4291,7.035,0.001928,-0.000216,0.096338,1.147,5.888,1870167.6,0.86425,0.04097,0.077653,0.005241,0.077742,0.003686
50,0.101461,3,0.9610,123.0125,9.7165,2.4291,7.035,0.001928,-0.000216,0.096339,1.147,5.888,1870175.8,0.86423,0.04097,0.077653,0.005241,0.077742,0.003686
75,0.151197,0,0.9610,123.0125,9.7165,2.4291,7.035,0.003358,-0.000343,0.096505,1.994,5.041,1873402.0,0.81016,0.02927,0.072993,0.005185,0.073129,0.002642
75,0.151197,1,0.9610,123.0125,9.7165,2.4291,7.035,0.003358,-0.000343,0.096505,1.994,5.041,1873400.2,0.81016,0.02927,0.072993,0.005185,0.073129,0.002642
75,0.151197,2,0.9610,123.0125,9.7165,2.4291,7.035,0.003358,-0.000343,0.096505,1.994,5.041,1873401.5,0.81016,0.02927,0.072993,0.005185,0.073129,0.002642
75,0.151197,3,0.9610,123.0125,9.7165,2.4291,7.035,0.003358,-0.000343,0.096505,1.994,5.041,1873400.8,0.81016,0.02927,0.072993,0.005185,0.073129,0.002642
