step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.9766,125.0075,8.2413,2.0603,6.816,0.001447,-0.000101,0.097774,0.848,5.968,1609865.4,0.89329,0.04838,0.070137,0.004840,0.070201,0.003802
25,0.051725,1,0.9766,125.0075,8.2413,2.0603,6.816,0.001448,-0.000101,0.097774,0.848,5.968,1609866.3,0.89327,0.04837,0.070136,0.004840,0.070200,0.003801
25,0.051725,2,0.9766,125.0075,8.2413,2.0603,6.816,0.001447,-0.000101,0.097774,0.848,5.968,1609865.1,0.89328,0.04838,0.070137,0.004840,0.070201,0.003802
25,0.051725,3,0.9766,125.0075,8.2413,2.0603,6.816,0.001448,-0.000101,0.097774,0.848,5.968,1609864.4,0.89327,0.04837,0.070135,0.004840,0.070199,0.003801
50,0.101461,0,0.9766,125.0075,8.2413,2.0603,6.816,0.002891,-0.000221,0.097926,1.692,5.124,1612364.5,0.84889,0.03570,0.066807,0.004788,0.066919,0.002814
50,0.101461,1,0.9766,125.0075,8.2413,2.0603,6.816,0.002891,-0.000221,0.097926,1.692,5.124,1612364.6,0.84889,0.03570,0.066807,0.004788,0.066919,0.002814
50,0.101461,2,0.9766,125.0075,8.2413,2.0603,6.816,0.002889,-0.000220,0.097925,1.691,5.125,1612352.0,0.84893,0.03571,0.066809,0.004788,0.066922,0.002815
50,0.101461,3,0.9766,125.0075,8.2413,2.0603,6.816,0.002891,-0.000221,0.097926,1.692,5.124,1612364.5,0.84887,0.03569,0.066806,0.004788,0.066918,0.002814
75,0.151197,0,0.9766,125.0075,8.2413,2.0603,6.816,0.004525,-0.000353,0.098120,2.643,4.173,1615555.4,0.72724,0.02347,0.057410,0.004510,0.057557,0.001858
75,0.151197,1,0.9766,125.0075,8.2413,2.0603,6.816,0.004525,-0.000353,0.098120,2.643,4.173,1615553.9,0.72724,0.02347,0.057409,0.004510,0.057556,0.001857
