step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.4155,53.1880,10.4902,2.6226,14.699,0.001167,-0.000035,0.041604,1.608,13.092,871953.1,1.50962,0.03217,0.027315,0.001350,0.027343,0.000583
25,0.051725,1,0.4155,53.1880,10.4902,2.6226,14.699,0.000306,-0.000035,0.041589,0.422,14.277,871628.2,1.52247,0.04694,0.027548,0.001053,0.027555,0.000850
25,0.051725,2,0.4155,53.1880,10.4902,2.6226,14.699,0.000275,-0.000034,0.041589,0.379,14.320,871622.9,1.52243,0.04780,0.027547,0.001048,0.027554,0.000865
25,0.051725,3,0.4155,53.1880,10.4902,2.6226,14.699,0.000108,-0.000036,0.041589,0.148,14.551,871628.6,1.52224,0.05245,0.027548,0.001021,0.027551,0.000949
50,0.101461,0,0.4155,53.1880,10.4902,2.6226,14.699,-0.000112,-0.000089,0.041643,-0.154,14.854,872759.3,1.52290,0.05839,0.027637,0.000985,0.027634,0.001060
50,0.101461,1,0.4155,53.1880,10.4902,2.6226,14.699,0.000157,-0.000089,0.041642,0.217,14.483,872751.5,1.52309,0.05097,0.027633,0.001029,0.027637,0.000925
50,0.101461,2,0.4155,53.1880,10.4902,2.6226,14.699,-0.000436,-0.000091,0.041646,-0.600,15.300,872828.9,1.51622,0.06472,0.027528,0.000886,0.027517,0.001175
50,0.101461,3,0.4155,53.1880,10.4902,2.6226,14.699,0.000408,-0.000092,0.041647,0.562,14.137,872849.8,1.52334,0.04406,0.027639,0.001071,0.027648,0.000800
75,0.151197,0,0.4155,53.1880,10.4902,2.6226,14.699,0.000490,-0.000151,0.041707,0.673,14.026,874103.3,1.52412,0.04179,0.027731,0.001086,0.027741,0.000761
75,0.151197,1,0.4155,53.1880,10.4902,2.6226,14.699,0.000437,-0.000151,0.041706,0.601,14.098,874087.2,1.52410,0.04322,0.027730,0.001078,0.027740,0.000787
75,0.151197,2,0.4155,53.1880,10.4902,2.6226,14.699,0.000413,-0.000151,0.041706,0.568,14.132,874086.6,1.52409,0.04388,0.027731,0.001073,0.027740,0.000799
75,0.151197,3,0.4155,53.1880,10.4902,2.6226,14.699,0.000453,-0.000151,0.041707,0.623,14.077,874098.6,1.52411,0.04279,0.027731,0.001080,0.027741,0.000779
100,0.200933,0,0.4155,53.1880,10.4902,2.6226,14.699,0.000402,-0.000213,0.041768,0.551,14.148,875387.7,1.52489,0.04413,0.027828,0.001074,0.027837,0.000806
100,0.200933,1,0.4155,53.1880,10.4902,2.6226,14.699,0.000404,-0.000214,0.041769,0.554,14.145,875406.8,1.52490,0.04409,0.027829,0.001074,0.027838,0.000805
100,0.200933,2,0.4155,53.1880,10.4902,2.6226,14.699,0.000405,-0.000213,0.041768,0.555,14.144,875385.4,1.52489,0.04406,0.027828,0.001074,0.027837,0.000804
100,0.200933,3,0.4155,53.1880,10.4902,2.6226,14.699,0.000399,-0.000215,0.041770,0.547,14.153,875429.9,1.52491,0.04422,0.027831,0.001073,0.027840,0.000807
